EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI ( % ) ,Breakeven,ProfitMargin,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,is_exact_ean_strict,title_match,shared_tokens,brand_match,product_type_match,Sup_Qty,Amz_Multipack,Amz_Total,RSU,Adjusted_Profit,Pack_Verdict,category,confidence,key_evidence,filter_reason,sales,RowID
5055441451442,5702017583471.0,B01N1O0F2K,DEKTON RIGHT ANGLE BRACKETS 8PCS,"LEGO 10327 Icons Dune Atreides Royal Ornithopter, Model Kit for Adults to Build, Movie-Themed Aviation Gifts for Men, Women, Him, Her, Vehicle Set with 8 Minifigures Inc. Chani & Baron Harkonnen",https://www.efghousewares.co.uk/dekton-flat-connector-8pcs-115681,https://www.amazon.co.uk/dp/B01N1O0F2K,100,,Available (see Keepa data),23.0,1.68,1.4,112.5,16.88,5.39,0.55,18.75,4.844,70.08,-4.844,69.53,3565.64102564102,29.064,74.1653333333333,5055441451442,57020175834710,5055441451442,57020175834710,True,True,False,0.168141592920354,[],False,False,8,"(1, 1, 1)",1,1.0,69.53,1:1 Match,UNRELATED,16,Weak evidence,Insufficient evidence,100,21
5012904018475,,B0FLXV5TG6,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/tala-stainless-steel-towel-holder-5-1-23,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,,,,1.164,0.97,81.98,10.2475,2.41,0.55,13.6633333333333,2.8355,54.6891666666666,-2.8355,54.1391666666666,3561.78728070175,17.013,79.2473774091241,5012904018475,,5012904018475,,True,False,False,0.17937219730941703,['steel'],False,False,1,"(1, 1, 1)",1,1.0,54.1391666666666,1:1 Match,UNRELATED,17,Shared: steel,Insufficient evidence,50,22
5055297302240,717710483480.0,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/plunger-buffalo-mini-plunger,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,2.196,1.83,129.0,19.35,3.44,0.55,21.5,5.034,82.88,-5.034,82.33,3459.24369747899,30.204,76.5860465116279,5055297302240,7177104834800,5055297302240,7177104834800,True,True,False,0.1278538812785388,[],False,False,1,"(1, 1, 1)",1,1.0,82.33,1:1 Match,UNRELATED,12,Weak evidence,Insufficient evidence,50,23
5030017011138,,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",https://www.efghousewares.co.uk/panasonic-upright-sdb113,https://www.amazon.co.uk/dp/B0FB36DTHD,300,Available (see Keepa data),,2.0,2.616,2.18,144.99,21.75,5.84,0.55,24.1649999999999,6.064,91.055,-6.064,90.505,3315.20146520146,36.384,74.9058555762466,5030017011138,,5030017011138,,True,False,False,0.09174311926605505,[],False,False,1,"(1, 1, 1)",1,1.0,90.505,1:1 Match,UNRELATED,9,Weak evidence,Insufficient evidence,300,24
5012213580601,,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),https://www.efghousewares.co.uk/tom-smith-christmas-cards-luxury-slim-foliage-text-122728,https://www.amazon.co.uk/dp/B08KYJWQPV,50,,,,2.016,1.68,104.67,13.08375,2.41,0.55,17.4449999999999,3.54475,70.05125,-3.54475,69.50125,3116.64798206278,21.2685,79.6804241903124,5012213580601,,5012213580601,,True,False,False,0.25301204819277107,[],False,True,1,"(1, 1, 1)",1,1.0,69.50125,1:1 Match,NEEDS_VERIFICATION,45,Weak evidence,Confirm brand on packaging,50,25
5013922057019,,B0DB7DGKFK,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",https://www.efghousewares.co.uk/party-crazy-balloons-asstd-20,https://www.amazon.co.uk/dp/B0DB7DGKFK,100,,,,0.852,0.71,60.34,7.5425,2.41,0.55,10.0566666666666,2.2425,39.6208333333333,-2.2425,39.0708333333333,3100.85978835978,13.455,77.7013589658601,5013922057019,,5013922057019,,True,False,False,0.04310344827586207,[],False,False,1,"(1, 1, 1)",1,1.0,39.0708333333333,1:1 Match,UNRELATED,4,Weak evidence,Insufficient evidence,100,26
5038673411309,,B0FM3GQ9VQ,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",https://www.efghousewares.co.uk/prima-pet-ball-launcher-50cm,https://www.amazon.co.uk/dp/B0FM3GQ9VQ,50,Available (see Keepa data),,1.0,1.344,1.12,86.69,13.0,7.17,0.55,14.4483333333333,4.368,50.9516666666666,-4.368,50.4016666666666,3018.06387225548,26.208,69.7681393470988,5038673411309,,5038673411309,,True,False,False,0.21052631578947367,"['ball', 'launcher', 'pet']",False,True,1,"(1, 1, 1)",1,1.0,50.4016666666666,1:1 Match,NEEDS_VERIFICATION,41,"Shared: ball, launcher, pet",Confirm brand on packaging,50,27
5050565547071,,B0734R66B4,POP SENSORY TOY,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",https://www.efghousewares.co.uk/pop-sensory-toy,https://www.amazon.co.uk/dp/B0734R66B4,100,,,,0.408,0.34,39.89,4.98625,2.41,0.55,6.64833333333333,1.65725,25.5054166666666,-1.65725,24.9554166666666,2803.97940074906,9.9435,75.0726999247931,5050565547071,,5050565547071,,True,False,False,0.10227272727272728,[],False,False,1,"(1, 1, 1)",1,1.0,24.9554166666666,1:1 Match,UNRELATED,10,Weak evidence,Insufficient evidence,100,28
5050565569936,,B0DL47ZJR2,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",https://www.efghousewares.co.uk/paper-easter-10-plates-7-inch,https://www.amazon.co.uk/dp/B0DL47ZJR2,100,,,,0.744,0.62,50.99,6.37375,2.41,0.55,8.49833333333333,1.99075,33.0879166666666,-1.99075,32.5379166666666,2781.01851851851,11.9445,76.5748185918807,5050565569936,,5050565569936,,True,False,False,0.10752688172043011,[],False,False,1,"(1, 487, 487)",487,487.0,-329.0460833333334,BUNDLE (487x) - LOSS,UNRELATED,10,Weak evidence,Insufficient evidence,100,29
5050835103648,,B0DWDWH5MZ,SPARKLE PRINCESS DOLL 4 ASSORTED,"LEGO Star Wars 75434 K-2SO Security Droid Figure - Posable Play & Display Building Toy - Collectible Model Kit incl. an Information Plaque - Gift for Boys, Girls & Adult Andor Fans",https://www.efghousewares.co.uk/sparkle-princess-doll-4-assorted-117753,https://www.amazon.co.uk/dp/B0DWDWH5MZ,800,,,,1.032,0.86,59.99,7.49874999999999,2.41,0.55,9.99833333333333,2.26375,39.2229166666666,-2.26375,38.6729166666666,2742.76004728132,13.5825,77.358726454409,5050835103648,,5050835103648,,True,False,False,0.18867924528301888,[],False,False,1,"(1, 1, 1)",1,1.0,38.6729166666666,1:1 Match,UNRELATED,18,Weak evidence,Insufficient evidence,800,30
