ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,Sales,PackVerdict,MatchType
B0114IPMS6,5010559684793.0,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),2.15333333333333,100,Confirmed (Title),Title Analysis
B0C37Z88WM,5030481970276.0,PPS PLASTIC GLASSES HALF PINT 50PCS,Plastic Half Pint Glasses 50 Pack Strong Disposable Beer Cups 284ml,1.71166666666666,100,Confirmed (Title),Title Analysis
B0013IUIPA,5010853210520.0,PRICE & KENSINGTON 2 CUP TEAPOT MATT NAVY,Price & Kensington Black 6 Cup Teapot,0.0466666666666657,100,Confirmed (Title),Title Analysis
B01LCYXS24,3426470268684.0,PYREX ESSENTIALS CASSEROLE OVAL 4.1LTR,"Pyrex Essentials Glass oval Casserole high resistance, 3 L",0.213750000000001,100,Confirmed (Title),Title Analysis
B00HMDJD38,5032759005864.0,AMTECH TELESCOPIC PICKUP TOOL,Amtech S8006 3 LED telescopic torch and magnetic pick up tool,0.541666666666667,100,Confirmed (Title),Title Analysis
B003KIWJ1C,5032759049899.0,AMTECH EXTRA LONG METRIC HEX KET SET 9PC,Sealey Ak7174 Hex Key Set 9Pc Extra-Long Stubby Element Metric,3.6975,50,Confirmed (Title),Title Analysis
B08DRRKWKQ,7612720201457.0,LITTLE TREES CAR FRESHENER ORANGE JUICE,Little Trees Air Freshener Tree LTZ084 Orange Juice Fragrance For Car Home Boat Caravan - Triple Pack,0.61,50,Confirmed (Title),Title Analysis
B01MYBH3SU,5017676016919.0,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill for Pressure Sprayer, 5 Litre",3.52,50,Confirmed (Title),Title Analysis
B0070U64RG,5029347009311.0,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",5.33583333333333,50,Confirmed (Title),Title Analysis
B004TRT3K8,5032759001675.0,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",1.0175,50,Confirmed (Title),Title Analysis
B001V9T690,5010618043103.0,EVERBUILD JET RAPID SET CEMENT 3KG,"Everbuild Jetcem Deep Rapid Repair Sand and Cement, Grey, 6 kg",0.574999999999999,50,Confirmed (Title),Title Analysis
B073VPL2VQ,5027785817369.0,ULTRATAPE PICTURE FRAME TAPE 24MMX50M,Ultratape | Picture Frame Tape | 48mm x 33m,0.431666666666667,50,Confirmed (Title),Title Analysis
B00ABJQTPU,5032759027644.0,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",0.625416666666666,50,Confirmed (Title),Title Analysis
B07NNY768K,5012823030916.0,FALCON ENAMEL ROUND PIE DISH  26CM,FALCON Round Pie Dish White 26CM,0.892083333333333,50,Confirmed (Title),Title Analysis
B004GY24EQ,5032759049905.0,AMTECH BOX SPANNER /TOMMY BAR,Amtech K1150 6 Piece Tubular Box Spanner Set with Tommy bar,0.207083333333334,50,Confirmed (Title),Title Analysis
B082Q34WLQ,5038135559808.0,BAKER & SALT LOOSE CASE CAKE TIN 23CM,Baker & Salt Loose Based Round Cake Tin Deep - 09inch,0.404583333333332,50,Confirmed (Title),Title Analysis
B0D8QFWZ7N,5055361711091.0,MEMORIAL PLASTIC SPIKE SPECIAL MUM & DAD,Mum And Dad - Plastic Spike Memorial Grave Vase With Butterfly Decoration,0.251666666666667,50,Confirmed (Title),Title Analysis
B0FG23ZTX7,,EXTRASTAR EXTENSION LEAD 2 GANG 2M WHITE,"EXTRASTAR 2 Gang Extension Lead, 2 Metre Extension Cable, Double Plug Socket 13A Fused Power Strip White",0.248333333333333,50,Confirmed (Title),Title Analysis
