EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,bought_in_past_month,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,NetProceeds,NetProfit,ROI,ProfitMargin,match_type,matching_score
8001565225046,8001565225046,B00IED1HJI,Burnt Orange Polypropylene Ribbon,Polyribbon 48mm x 100yards Orange,,2.88,2.4,8.98,1.550833333,1.000833333,33.92655367,13.37416481,ean_match,
5017224205727,5017224205727,B00I8OGVK8,Keeleco Baby Twinkle Unicorn Stick Rattle (14cm),WIDDOP TWINKLE RATTLE (8869005),,8.316,6.93,18.99,2.955,2.405,32.15240642,15.19747235,ean_match,
5055141660502,5055141660502,B00803ITX4,Emerald Wired Edge Organza Ribbon (70mm x 20m),Quality Florist / Craft Lilac Wired Edge Chiffon Organza Ribbon (70mm wide x 20m),,3.588,2.99,9.99,1.67625,1.12625,31.81497175,13.52852853,ean_match,
5034566608443,5034566608443,B0749TYN3D,Pom Pom Backpack Clip Blue Soft Toy By Aurora,"Aurora World 60844 Pompom Backpack Clip, Pink",,3.792,3.16,9.91,1.638333333,1.088333333,29.33513028,13.17860747,ean_match,
5060047766593,5060047766593,B00QFCW1LS,Silver Tissue Paper Sheets (Pack of 10),Tissue Paper Assorted (240),,10.74,8.95,20.7,3.3025,2.7525,28.97368421,15.95652174,ean_match,
5055141673137,5055141673137,B09QCSF73L,Lilac Softwood Trug,Natural Softwood Trug Basket with Lining - Flower Plant Herb Gift,,4.404,3.67,10.96,1.683333333,1.133333333,26.85624013,12.40875912,ean_match,
5056349248660,5056349248660,B0BZW4SYCY,Grey Wash Split Willow Basket with Handle (16cm Dia),Grey Wash Lined Barrel with Rope Handles - 25.3cm - Herb Plant Flower Gift Pot,,8.544,7.12,16.99,2.504583333,1.954583333,25.48348544,13.80517952,ean_match,
5034566610705,5034566610705,B07LFJFM4Y,Sparkle Tales Blue Penguin (7 Inch),"Aurora, 61070, Sparkle Tales, Rocky Penguin, 12In, Soft Toy, Blue",,9.36,7.8,20.05,2.538333333,1.988333333,23.81237525,11.90024938,ean_match,
5055977318509,5055977318509,B0BHTCFTLR,Queen Chrysanthemum Peach,"APAC Chrysanthemum Bloom - Cream, Silk Flowers Perfect for Home Wedding Party Decorations Flower Arrangements",,4.956,4.13,11.55,1.64125,1.09125,23.31730769,11.33766234,ean_match,
5050565733610,5050565733610,B0CXG8WZJV,Kendall Sitting Value Bear with Mum Heart (30cm),"My Mum is the Best Embroidered Heart Gracie Grey Bear (36cm) 1 Pc. - Cuddly & Adorable Design, for Mother's Day, Birthdays, & Special Occasion",,5.256,4.38,13.48,1.683333333,1.133333333,22.98850575,10.08902077,ean_match,
5017224834026,5017224834026,B07T7HRZQX,Bambino Grey Plush Rabbit Medium 1(8cm),Bambino Grey Soft Plush Bunny Rabbit Soft Toy Large 31cm,,9.588,7.99,19.9,2.033333333,1.483333333,17.36924278,8.944723618,ean_match,
