category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
MODERATE_CONFIDENCE,False,1:1 Match,13.5,13.5,1238.532110091743,1.0,1.0,1.0,0.36065573770491804,100.0,Wheel Barrow and Accessories Sand Set,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",5025572149068,nan,B08MZRBNRT,0.648,24.0
UNCERTAIN,False,1:1 Match,88.64125000000003,88.64125000000003,1197.8547297297305,1.0,1.0,1.0,0.24705882352941178,50.0,Giant Red Poinsettia Head (50cm),"ELFORDSON Gaming Chair with 8-Point Massage LED Light, Computer Office Chair with Footrest 82cm High Back 150° Recliner, PU Leather, Black",5056721815787,nan,B0C495N593,8.219999999999999,138.99
MODERATE_CONFIDENCE,False,1:1 Match,10.931666666666668,10.931666666666668,1162.9432624113476,1.0,1.0,1.0,0.3,100.0,Baby Pink 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123549,nan,B0BG8XD59D,0.468,21.95
UNCERTAIN,False,1:1 Match,10.931666666666668,10.931666666666668,1162.9432624113476,1.0,1.0,1.0,0.2857142857142857,100.0,White 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123426,nan,B0BG8XD59D,0.468,21.95
UNCERTAIN,False,1:1 Match,10.931666666666668,10.931666666666668,1162.9432624113476,1.0,1.0,1.0,0.2807017543859649,100.0,Cerise 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123563,nan,B0BG8XD59D,0.468,21.95
UNCERTAIN,False,1:1 Match,17.93125,17.93125,1113.7422360248445,1.0,1.0,1.0,0.20634920634920634,100.0,XLarge Super Soft Snuggle Hoodie    Full Card Wrap (4 Asst Colours) (Assorted Designs),"Long Hoodie Blanket for Women and Men, Wearable Blanket with Sleeves and Giant Pockets, Thick Flannel Sherpa Fleecea hoodie,Super Soft Warm Cozy Oversized Winter Robe",5025572082457,nan,B0FFN7X69F,1.272,30.99
MODERATE_CONFIDENCE,False,1:1 Match,11.407916666666669,11.407916666666669,1086.468253968254,1.0,1.0,1.0,0.3779527559055118,200.0,Christmas Felt Santa Hat,100 x Festive/Christmas/Xmas Felt Santa Hats - Bulk Buy - Traditional Holiday Party Costume Accessories,5012128621277,nan,B00P6MO4U4,0.6,20.99
UNCERTAIN,False,1:1 Match,25.63125,25.63125,1063.5373443983403,1.0,1.0,1.0,0.19004524886877827,400.0,Light Up Glitter Pumpkin (Assorted),"5-in-1 Robot Building Kit with LED Light, APP & Remote Control Building Set for Kids, RC Tank Sleigh Tracked Racer Rechargeable Technic Robotic Toy Birthday Gift for Boys Girls Ages 6-12",5056283878718,nan,B0FFH7RY3R,2.232,42.99
UNCERTAIN,False,1:1 Match,15.771666666666665,15.771666666666665,1058.5011185682326,1.0,1.0,1.0,0.1792452830188679,200.0,Essential Lavender Wisteria,"WESEARY Wireless 2.4GHz Gaming Headset for PS5, PS4, Mac, Switch, Mobile, Gaming Headphones with Crystal-Clear ENC Mic, Bluetooth 5.4, Ultra-Low Latency, Stereo Bluetooth Headset for PC",5056721852409,721820110730,B0FPGF1M99,1.128,29.99
MODERATE_CONFIDENCE,False,BUNDLE (12x) - OK,5.529583333333335,6.849583333333334,1053.7820512820513,12.0,1.0,12.0,0.3016759776536313,200.0,Christmas Jiggly Ball Assortment (Assorted Designs),"abeec 12 Pack of Jiggly Balls | Squishy Sensory Stress Balls for Kids & Adults | Party Bag Fillers, Fidget Toys & Anxiety Relief",5016064074616,nan,B09ZLT2V24,0.12,13.99
UNCERTAIN,False,1:1 Match,32.72291666666666,32.72291666666666,1052.1838156484455,1.0,1.0,1.0,0.20080321285140562,100.0,Celestia Candlestick- Electroplate Silver Glass (10cm),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519256037,nan,B0F7R9GN9X,3.072,53.99
UNCERTAIN,False,1:1 Match,17.71166666666667,17.71166666666667,1048.027613412229,1.0,1.0,1.0,0.11981566820276497,50.0,Ava May Pearlised Oval Burner,"Flower Bouquet Building Set, 1020 PCS Botanical Collection Building Block Toy, Rose Flowers Plant Home Decor, Christmas, Mother's Day, Valentine's Day Birthday Gift Toys for Girls Women 6+",5056364104989,716597795129,B0FDGR74V7,1.368,32.99
UNCERTAIN,False,1:1 Match,27.49625,27.49625,1029.8220973782772,1.0,1.0,1.0,0.1523809523809524,700.0,Halloween Bottles (Assorted),"4DRC V13 Drone for kids Adults with 1080P HD FPV Camera, Foldable Mini RC Quadcopter With Waypoint, Functions,Headless Mode,Altitude Hold,Gesture Selfie,3D Flips,Beginners Toys Gifts",5017224814608,nan,B09KM68ZW1,2.544,45.99
UNCERTAIN,False,1:1 Match,11.724999999999998,11.724999999999998,1028.5087719298242,1.0,1.0,1.0,0.2318840579710145,50.0,Wooden Pirate Puzzle 2 Asstd  by AtoZ Toys,Toddler Educational Toys for 1 2 3 Years Old Boys and Girls - 3 Montessori Jigsaw Wooden Puzzles for Kids - Animals Learning Gifts for 2-4 Years Old - Fun Kids Games,5012866625223,nan,B0845XYT99,0.708,21.99
UNCERTAIN,False,1:1 Match,15.866249999999996,15.866249999999996,1023.6290322580644,1.0,1.0,1.0,0.18502202643171806,50.0,Ava May Oval Burner Bowl - Pearlised,"Flowers Bouquet Building Set, Rose Flower Botanical Collection Building Kit Toys Home Decoration Gifts for Valentine Day, Christmas, Birthday, Mother's Day, Toys for Girl Women Kids Aldult 6+",5056364104972,nan,B0FDGQV357,1.2,27.99
UNCERTAIN,False,1:1 Match,45.74833333333335,45.74833333333335,1007.6725403817918,1.0,1.0,1.0,0.1984126984126984,50.0,Age 8 Unisex Birthday Latex Balloons (6 Pks Of 8 Balloons),"Aigostar Smart WiFi Glass Panel Heater, Alexa Heating Control - 1500W Ultra-Thin Space Heater, Wall Mount or Floor Use, Quiet Touch Control with Timer & Eco Mode for Bedroom/Office - Holly Smart",5055579165129,8433325221911,B0F8Q44Z4T,4.788,83.59
MODERATE_CONFIDENCE,False,1:1 Match,11.86625,11.86625,912.7884615384614,1.0,1.0,1.0,0.3004694835680751,800.0,Baubles & Bow Christmas Tinsel Wreath (Assorted),"GloBrite 40cm Christmas Wreath with Bows, Baubles & Lantern | Wreaths for Front Door | Door Wreaths Home Decor Christmas Decorations for Outdoor Decorations - Silver",5056170332392,nan,B0BN8NBJFT,0.9,21.99
