EAN_Supplier,EAN_Amazon,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,Sales,NetProfit,ROI,SupplierPrice,AmazonPrice,MatchCategory,MatchScore,MatchReason
5055977023922.0,,B0FN7F78Q5,Red Hamper Box Large 44cm,10 Pcs Red Baskets For Gifts Empty 30 x 26 x 10.5cm Gift Basket Hamper Kit Thick Kraft Gift Basket Wine Basket for Baby Shower Wedding Christmas Birthday Snacks Farmers Market,https://angelwholesale.co.uk/Item/Silver-Hamper-Box-Large-44cm-B12565,https://www.amazon.co.uk/dp/B0FN7F78Q5,50.0,14.67333333333333,577.6902887139106,2.388,32.98,FALSE_MATCH,19.0,Very low title similarity
5056519267781.0,721820110730.0,B0FPGF1M99,Essential White Weeping Cherry Blossom,"WESEARY Wireless 2.4GHz Gaming Headset for PS5, PS4, Mac, Switch, Mobile, Gaming Headphones with Crystal-Clear ENC Mic, Bluetooth 5.4, Ultra-Low Latency, Stereo Bluetooth Headset for PC",https://angelwholesale.co.uk/craft/floristry/silk-flowers/blossoms/essential-dark-pink-weeping-cherry-blossom/p1058501.html,https://www.amazon.co.uk/dp/B0FPGF1M99,200.0,14.511666666666668,527.6969696969697,2.64,29.99,FALSE_MATCH,0.0,Category mismatch detected
819787305211.0,,B0C7FJY9SL,Mother of the Groom Mad Dots Heart,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",https://angelwholesale.co.uk/sale/special-offers-occassions/mad-man-blue-colour-pop-grooming-kit/p1051615.html,https://www.amazon.co.uk/dp/B0C7FJY9SL,100.0,14.050833333333337,214.18953252032523,7.212,32.5,FALSE_MATCH,13.333333333333334,Very low title similarity
5056721842059.0,721820110730.0,B0FPGF1M99,Botanica Large Pink Calla Lily (82cm),"WESEARY Wireless 2.4GHz Gaming Headset for PS5, PS4, Mac, Switch, Mobile, Gaming Headphones with Crystal-Clear ENC Mic, Bluetooth 5.4, Ultra-Low Latency, Stereo Bluetooth Headset for PC",https://angelwholesale.co.uk/craft/floristry/silk-flowers/lily/botanica-large-purple-calla-lily-82cm-/p1064072.html,https://www.amazon.co.uk/dp/B0FPGF1M99,200.0,14.011666666666668,431.1282051282051,3.24,29.99,FALSE_MATCH,0.0,Category mismatch detected
5012866017936.0,718819656188.0,B0DBZNM49R,3D Wood Puzzle,"ROKR 3D Puzzle Racing Car Wooden Model Kits for Adults Children, Mechanical Gear Models DIY Gifts for Men Women, Racing Car, LK505",https://angelwholesale.co.uk/toys/puzzles-board-games/wood-3d-puzzle-fire-engine/p1046098.html,https://www.amazon.co.uk/dp/B0DBZNM49R,800.0,13.731666666666666,490.4166666666667,2.7,28.79,FALSE_MATCH,27.76595744680851,Very low title similarity
5025572149068.0,,B08MZRBNRT,Wheel Barrow and Accessories Sand Set,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",https://angelwholesale.co.uk/Item/Crocodile-Tail-Loom-Set---100bands--accessories-toy03237,https://www.amazon.co.uk/dp/B08MZRBNRT,100.0,13.5,1238.532110091743,0.648,24.0,FALSE_MATCH,36.26373626373626,Very low title similarity
5050565396129.0,,B08XW592VP,Stainless Steel BBQ Tool Set,"ROMANTICIST 26pcs Extra Thick Stainless Steel Grill Tool Set for Men,Heavy Duty Grilling Accessories Kit for Backyard, BBQ Utensils Gift Set with Meat Thermometer in Aluminum Case for Birthday Black",https://angelwholesale.co.uk/sale/special-offers-occassions/bbq-steel-tongs-/p1052037.html,https://www.amazon.co.uk/dp/B08XW592VP,50.0,12.968333333333332,1071.763085399449,0.792,25.99,FALSE_MATCH,37.22222222222222,Very low title similarity
5055977318264.0,,B09CV2GFW3,Arundel Open Rose Blue,"Preserved Real Rose Gift Box with I Love You Necklace, Handmade Eternal Rose Flower Gifts for Mum Mother Women Wife Girlfriend Her on Mothers Day, Birthday, Anniversary, Valentines Day, Christmas",https://angelwholesale.co.uk/craft/floristry/silk-flowers/roses/arundel-rose-blue/p504983.html,https://www.amazon.co.uk/dp/B09CV2GFW3,200.0,12.962916666666665,800.1800411522632,1.284,23.99,FALSE_MATCH,26.320754716981135,Very low title similarity
681070107334.0,,B0DBLW27T2,"18"" Baby Girl Little Elephant","Baby Bilingual Musical Elephant Stuffed Animals Toys,Infant Early Learning Toy with Light-Up Music & Crinkle,Tummy Time Toys for 0 3 6 9 12+ Months for Baby Boy Girl Gift,Pink",https://angelwholesale.co.uk/baby/baby-shower/all-baby-shower/18-baby-boy-little-elephant/p488253.html,https://www.amazon.co.uk/dp/B0DBLW27T2,100.0,12.465,842.2297297297297,1.116,24.99,FALSE_MATCH,18.0,Very low title similarity
5010792754635.0,,B0FNX8LJGL,Velvet Rose Hand Care Set,"The Body Shop British Rose Essentials Gift Set (Shower Gel 250ml + Body Yogurt 200ml + Hand Cream 30ml), Floral Festive Trio with Rose Extract, Softening & Hydrating Body Care, Vegan",https://angelwholesale.co.uk/gift/gifts-by-recipient/gifts-for-her/all-gifts-for-women/velvet-rose-hand-lip-care/p1070513.html,https://www.amazon.co.uk/dp/B0FNX8LJGL,200.0,11.898333333333335,349.95098039215685,3.42,25.0,FALSE_MATCH,34.38775510204081,Very low title similarity
5056283884917.0,,B0F3JGX8SP,Boys Stationery Set (18 Piece) (Assorted Designs),"Four Candies 39 PCS School Stationery Supplies with Cute Pencil Case, 12 Pastel Highlighters, 5 Black Ink Gel Pens, 6 Mechanical Pencils,  Aesthetic Girly Stationary Set (Pink)",https://angelwholesale.co.uk/toys/stationery/assorted-boys-stationery-set-18-piece-/p1064523.html,https://www.amazon.co.uk/dp/B0F3JGX8SP,100.0,11.761666666666668,331.3145539906104,3.6,26.99,FALSE_MATCH,19.626168224299064,Very low title similarity
5012866625223.0,,B0845XYT99,Wooden Pirate Puzzle 2 Asstd  by AtoZ Toys,Toddler Educational Toys for 1 2 3 Years Old Boys and Girls - 3 Montessori Jigsaw Wooden Puzzles for Kids - Animals Learning Gifts for 2-4 Years Old - Fun Kids Games,https://angelwholesale.co.uk/Item/Wooden-Princess-Dress-Up-Puzzle--by-AtoZ-Toys-toy021743,https://www.amazon.co.uk/dp/B0845XYT99,50.0,11.724999999999998,1028.5087719298242,0.708,21.99,FALSE_MATCH,38.0,Very low title similarity
28503050674.0,,B085X93ZJN,Assorted Alphabet and Number Flash Cards,"LITTLE BUD KIDS Spin-and-Read Phonics Toy, Rotating Wooden Reading Blocks with CVC Flashcards, A Montessori Reading Learning Resources Toy for 3-5 years old",https://angelwholesale.co.uk/Item/Alphabet-Blocks-10pcs-toy05003,https://www.amazon.co.uk/dp/B085X93ZJN,200.0,11.428333333333333,357.13541666666663,3.18,25.99,FALSE_MATCH,23.711340206185564,Very low title similarity
