SupplierTitle,AmazonTitle,EAN_clean,EAN_OnPage_clean,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,sales,TitleMatch,MatchCategory
Keeleco Teddy (20cm),"Trend T7 1/2 Inch Variable Speed Workshop Router and Kitbox, Perfect for Kitchen Fitting, Worktop Joints & Timber Profiling, 2100W, 240V, Black, T7EK",5027148019409,5027654063859,B07XL4Q6NV,6.252,148.95,91.935,1596.0937500000002,300,0.14201183431952663,LOW_CONFIDENCE
Traditional Santa Medium  Bag,"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",5056519200429,729920105601,B0BKGQLN8Z,0.744,33.99,18.615,1591.025641025641,900,0.13157894736842105,LOW_CONFIDENCE
Reversible Sequin Bow Headband,"SKYLEO LED Desk Lamp - Double Head Desk Light with Remote Control - Eye Protection, 2400 LM, 24W, 5 Color Modes, Timing & Memory, Easy to Install - Suitable for Office, Reading, Drawing - Black",5056170325745,,B0DHYTRRLV,1.116,37.73,22.835416666666667,1542.9335585585586,300,0.13452914798206278,LOW_CONFIDENCE
Happy Birthday Foil Banner,"Handheld Vacuum Cleaner, 22000Pa Car Vacuum Cleaner Cordless Powerful with 2-in-1 Suction and Blower Function, Car Hoovers Cordless Powerful for Office, Home Kitchen",5055141680302,,B0FGTJ9LBB,0.396,23.78,13.554166666666667,1540.246212121212,300,0.16753926701570682,LOW_CONFIDENCE
Christmas Tree Pen (Assorted),"Belaco Heater 2000W Turbo Convector Electric Heater with Fan Heater 3-speed Setting & 24Hr Timer | Energy Saving Portable Heater| Fast Heating Room Heaters for Home, Electric radiator – Black",5056170340670,5060598912685,B0FXBBF665,0.756,33.99,15.935000000000002,1350.4237288135594,200,0.13636363636363635,LOW_CONFIDENCE
Plain Blue 100% cotton velcro bibs by Soft Touch,"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",5060251955882,5702017817941,B0DWF1V6CT,1.128,35.99,19.971666666666668,1340.380313199105,500,0.17721518987341772,LOW_CONFIDENCE
Skating Scene Gift Bag (Medium),"Aigostar 100W LED Work Light, 9000LM Job Site Light, Plug in Folding FloodLight with 13ft Wire & Switch, Portable Loft Construction Workman Lights 240V Mains Powered IP65 Waterproof",5056519286751,8433325386368,B0D1V3KVPY,0.936,34.99,17.42833333333333,1310.4010025062655,200,0.18867924528301888,LOW_CONFIDENCE
Black Hand Tie Bag (19x25cm),"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",5056519277278,729920105601,B0BKGQLN8Z,1.068,33.99,18.345,1273.9583333333333,900,0.09691629955947137,LOW_CONFIDENCE
3 6cm Bells on a wire (Rusty),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519243969,8433325182915,B0F7R9GN9X,1.788,48.99,25.465000000000003,1248.2843137254904,100,0.13392857142857142,LOW_CONFIDENCE
Wheel Barrow and Accessories Sand Set,"Delex Pull along Kids Wagon Wheelbarrow and Gardening, Beach and Tools Play Set With Water Pail and Spray Includes 10 Accessories and 4 Plant Pots",5025572149068,,B08MZRBNRT,0.648,24.0,13.5,1238.532110091743,100,0.36065573770491804,MODERATE_CONFIDENCE
Giant Red Poinsettia Head (50cm),"ELFORDSON Gaming Chair with 8-Point Massage LED Light, Computer Office Chair with Footrest 82cm High Back 150° Recliner, PU Leather, Black",5056721815787,,B0C495N593,8.219999999999999,138.99,88.64125000000003,1197.8547297297305,50,0.24705882352941178,LOW_CONFIDENCE
White 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123426,,B0BG8XD59D,0.468,21.95,10.931666666666668,1162.9432624113476,100,0.2857142857142857,LOW_CONFIDENCE
Cerise 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123563,,B0BG8XD59D,0.468,21.95,10.931666666666668,1162.9432624113476,100,0.2807017543859649,LOW_CONFIDENCE
Baby Pink 31mm Single Pull Bow On Header,Newcastle Pint Glass,5055579123549,,B0BG8XD59D,0.468,21.95,10.931666666666668,1162.9432624113476,100,0.3,MODERATE_CONFIDENCE
Clear Cupcake Box,"Cedilis 15 Pack Clear Cupcake Boxes, 6 Count Cupcake Containers with Gift Ribbon, Plastic Cupcake Carrier Holder for Treat Dessert Cookies Muffins Pastry Baby Shower Party",5038168006713,,B0BN1J5RPD,0.348,17.98,9.485833333333334,1129.265873015873,50,0.18085106382978725,LOW_CONFIDENCE
XLarge Super Soft Snuggle Hoodie    Full Card Wrap (4 Asst Colours) (Assorted Designs),"Long Hoodie Blanket for Women and Men, Wearable Blanket with Sleeves and Giant Pockets, Thick Flannel Sherpa Fleecea hoodie,Super Soft Warm Cozy Oversized Winter Robe",5025572082457,,B0FFN7X69F,1.272,30.99,17.93125,1113.7422360248445,100,0.20634920634920634,LOW_CONFIDENCE
Christmas Felt Santa Hat,100 x Festive/Christmas/Xmas Felt Santa Hats - Bulk Buy - Traditional Holiday Party Costume Accessories,5012128621277,,B00P6MO4U4,0.6,20.99,11.407916666666669,1086.468253968254,200,0.3779527559055118,MODERATE_CONFIDENCE
Stainless Steel BBQ Tool Set,"ROMANTICIST 26pcs Extra Thick Stainless Steel Grill Tool Set for Men,Heavy Duty Grilling Accessories Kit for Backyard, BBQ Utensils Gift Set with Meat Thermometer in Aluminum Case for Birthday Black",5050565396129,,B08XW592VP,0.792,25.99,12.968333333333332,1071.763085399449,50,0.22123893805309736,LOW_CONFIDENCE
Light Up Glitter Pumpkin (Assorted),"5-in-1 Robot Building Kit with LED Light, APP & Remote Control Building Set for Kids, RC Tank Sleigh Tracked Racer Rechargeable Technic Robotic Toy Birthday Gift for Boys Girls Ages 6-12",5056283878718,,B0FFH7RY3R,2.232,42.99,25.63125,1063.5373443983403,400,0.19004524886877827,LOW_CONFIDENCE
Essential Lavender Wisteria,"WESEARY Wireless 2.4GHz Gaming Headset for PS5, PS4, Mac, Switch, Mobile, Gaming Headphones with Crystal-Clear ENC Mic, Bluetooth 5.4, Ultra-Low Latency, Stereo Bluetooth Headset for PC",5056721852409,721820110730,B0FPGF1M99,1.128,29.99,15.771666666666665,1058.5011185682326,200,0.1792452830188679,LOW_CONFIDENCE
