category,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,title_match,sales_numeric,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,5056721854311.0,,B0B5S4FT5H,Essential Yellow Daffodil Plant,Yellow Narcissus Daffodil Bulbs | Big Buy Value Pack | 40 Bulbs | Bee Friendly | Easy Planting | Perfect Spring Flowers | Eco-Friendly Packaging,0.24,500.0,3.9783333333333335,163.04644808743168,2.268,13.99
MODERATE_CONFIDENCE,5035320531236.0,,B0CLP1DDVK,Baby large sleeved Nylon bibs by Nursery Time,Long Sleeve Bibs 5 Pack Waterproof Sleeved Bib Baby Toddler Soft Bib for 6-30 Months,0.34108527131782945,500.0,3.305000000000001,183.6111111111112,1.5,9.99
UNCERTAIN,5015302106478.0,5050203412082.0,B0D8BHFLX2,Rubber Ducks (Pack of 3),Henbrandt 12 x Mini Christmas Rubber Ducks 12 Assorted Xmas Designs Children’s Duckies Variety Pack Cruising Ducks Kids Bath Toys Stocking Filler Games Bathtub Play for Boys and Girls,0.2028985507246377,500.0,1.4200000000000004,91.02564102564104,1.212,9.18
UNCERTAIN,5056814411209.0,,B0D9JBXSXQ,Red Shiny Wired Edge Ribbon (63mm),"Christmas Velvet Ribbon - Thick Red Wired 9m Edge 63mm Wide for Gift Wrapping, Crafting, Christmas Tree Decorations, Xmas Party Gifts, Wreath, Wedding Supplies",0.15544041450777202,500.0,0.8750000000000007,26.923076923076945,3.24,9.99
UNCERTAIN,5025192002866.0,5060397392138.0,B072PY36GF,Manhattan Display Basket (17 inch),Woodluv Grey Wicker Rectangular Storage Gift Hamper Basket With Removable Lining - Large,0.26229508196721313,500.0,0.7416666666666669,16.12318840579711,4.859999999999999,14.99
UNCERTAIN,5056814411339.0,,B0D9JBXSXQ,Red Shine Wired Edge Ribbon (63mm),"Christmas Velvet Ribbon - Thick Red Wired 9m Edge 63mm Wide for Gift Wrapping, Crafting, Christmas Tree Decorations, Xmas Party Gifts, Wreath, Wedding Supplies",0.15544041450777202,500.0,0.4550000000000007,12.39782016348776,3.744,9.99
UNCERTAIN,5015302107697.0,602309891589.0,B09DYF462V,Soother And Holder (Assorted Designs),"6 PcsCase for Baby Dummy Case, Pacifier Case, Pacifier Holder Storage Box, BPA-Free Dummy Container, Soother Pod Holder Box for Travel Home",0.26136363636363635,500.0,0.3733333333333335,21.832358674463947,1.392,6.28
UNCERTAIN,5055579165037.0,,B07H7L1PLD,Age 6 Unisex Birthday Latex Balloons (6 Pks Of 8 Balloons),"Divoom Timebox Evo Pixel Art Bluetooth Speaker with App Control, Creative LED Speaker & Alarm Clock, DIY Pixel Display, Perfect Thanksgiving & Xmas Present for Teens, Great for Christmas Decor",0.152,400.0,30.51833333333333,672.2099853157122,4.788,49.99
UNCERTAIN,5056283878718.0,,B0FFH7RY3R,Light Up Glitter Pumpkin (Assorted),"5-in-1 Robot Building Kit with LED Light, APP & Remote Control Building Set for Kids, RC Tank Sleigh Tracked Racer Rechargeable Technic Robotic Toy Birthday Gift for Boys Girls Ages 6-12",0.19004524886877827,400.0,25.63125,1063.5373443983403,2.232,42.99
UNCERTAIN,5055398321416.0,5060424707751.0,B07MW9YNPL,Grey Hat Box (Set of 3),SERIOUS PROTEIN – Protein Powder – 4kg – Low Carb – Supports Lean Muscle Growth – Recovery Supplement - The Bulk Protein Company - 133 Servings (Choc Peanut Butter),0.12834224598930483,400.0,16.445000000000004,296.84115523465715,5.988,39.99
UNCERTAIN,5056814411957.0,,B0773HXND3,Red Santa Legs Bow (30cm),DONYER POWER Convector Radiator Heater 2000W Room Heating with Adjustable Thermostat,0.1834862385321101,400.0,10.15833333333333,342.0314253647586,2.904,27.49
UNCERTAIN,5056283878541.0,,B0CJQQPBH8,Garden Tool Set,"Garden Tools Set, 9 Pieces Gardening Hand Tool Gift Kit, Stainless Steel Gardening Gifts for Women & Men with Heavy Duty Tool Bag for Easy Storage",0.18633540372670807,400.0,7.84833333333333,293.9450686641697,2.544,19.99
UNCERTAIN,5055977389264.0,9332996000209.0,B07GRJRV6Z,Tintagel Rose Bush Cream,"Grahams Natural Rosacea Cream - Clinically Proven Anti-Redness Treatment for Face to Soothe, Moisturise, Hydrate & Calm Sensitive Rosacea-Prone Skin - Hypoallergenic, Steroid-Free (1 x 75 g)",0.1308411214953271,400.0,6.289583333333332,115.19383394383392,5.892,19.99
MODERATE_CONFIDENCE,5055442193280.0,,B0DRVQ6ZQD,Ladies 5 Pack Trainer Socks with Mesh Insert and Arch Support (Assorted Designs),"Bamboo Trainer Socks Womens 6 Pairs, Breathable Cushioned Ladies Ankle Socks, Anti Blister Short Athletic Sports Running Sock, Low Cut Summer Walking Sock",0.3504273504273504,400.0,5.795,273.34905660377353,1.884,12.99
UNCERTAIN,,,B0CB6SS629,Bluey Colouring Set,Bluey Art Set for Kids Colouring Pencils Paints Felt Tip Pens Crayons Stationery Crafts Girls Boys Art Supplies Preschool Travel 40 Plus Pcs Gift Set (Blue 3 Tier),0.2087912087912088,400.0,4.332916666666667,100.765503875969,4.5,15.59
UNCERTAIN,5056170325721.0,,B097RZVBRG,Christmas Glitter Head Bopper (Assorted Designs),REDSTAR FANCY DRESS 6pc Assorted Novelty Christmas Headbands for Adults and Kids - Xmas Headbands Adult Christmas Hair Accessories for Kids - Novelty Xmas Boppers Festive Headwear for Party,0.24472573839662448,400.0,4.07625,320.96456692913387,0.864,10.95
MODERATE_CONFIDENCE,5055442193358.0,,B098JZ8NLN,Ladies 5 Pack Trainer Socks with Mesh Insert and Arch Support (Assorted Designs),Trainer Socks Womens 6 Pairs Cushioned Sports Socks for Women Cotton Breathable Cushion Running Socks Ladies Casual Nonslip Ankle Athletic Socks,0.3125,400.0,4.031666666666668,179.18518518518525,2.04,11.69
MODERATE_CONFIDENCE,5023797300356.0,,B0D25Z974W,Lovely mixed design fleece blankets by Soft Touch 75x100cm,"Exclusivo Mezcla Fleece Throw Blanket for Couch, Super Soft Striped Jacquard Bed Blanket, Lightweight Fuzzy Cozy for All Seasons, 127x152 CM, Pink",0.3431372549019608,400.0,3.778333333333333,139.93827160493825,2.58,13.99
MODERATE_CONFIDENCE,5056170317696.0,,B0BCWQ4DXL,Ladies Novelty Christmas Socks (Assorted Designs),Ladies Christmas Socks | Sock Snob | Womens Colourful Novelty Design Xmas Socks | Gift for Her,0.48951048951048953,400.0,3.4262500000000005,276.3104838709678,0.828,9.99
