EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,sales_numeric,ean_match_status,title_match_score,priority_score
5015302718961.0,810040572609.0,B0CDNT3PH2,Manicure Set (5 Piece),"MANSCAPED® Shears 3.0, 5-Piece Precision Men’s Nail Grooming Travel Kit, Stainless Steel Manicure Set with Fingernail & Toenail Clippers, Nail File, Slant Tip Tweezers, Cuticle Scissors, Travel Case",https://angelwholesale.co.uk/Item/28-Piece-Emery-Board-Set-msc0767,https://www.amazon.co.uk/dp/B0CDNT3PH2,800.0,Available (see Keepa data),,1.0,1.116,0.93,18.0,2.7,3.0,0.55,3.0,1.436,8.370000000000001,-1.436,7.820000000000001,528.3783783783784,8.616,52.13333333333334,800.0,PARTIAL,0.17272727272727273,1075.0927272727272
5050565362438.0,,B0D6RK49W8,Preschool Vehicles (6 Asstd),Wooden Toys Car Transporter Toy with 4 Cars Wooden Toys 2 3 Year Old Toy Cars for Toddlers Gifts for 3 Year Olds Boys Girls,https://angelwholesale.co.uk/Item/Metallic-Togglerz-Puzzle-Tubes-6-Asstd-T19031,https://www.amazon.co.uk/dp/B0D6RK49W8,700.0,,,,1.116,0.93,16.14,2.0175,2.41,0.55,2.6899999999999995,1.1815000000000002,8.092500000000001,-1.1815000000000002,7.542500000000001,509.6283783783785,7.089,56.07806691449815,700.0,PARTIAL,0.17218543046357615,1074.7610430463576
28503050278.0,,B0D2H5FPWX,Giant Play Food Set (2 Assorted),"Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kids Picnic Basket, Toy Food with Pizza Toy, Plastic Food Cutting Toys, Play Kitchen Accessories - Fake Food, Boys Girls Gifts",https://angelwholesale.co.uk/Item/Bathtime-Play-Set-2-Assorted-toy0139,https://www.amazon.co.uk/dp/B0D2H5FPWX,800.0,Available (see Keepa data),,1.0,5.58,4.65,17.76,2.66,3.45,0.55,2.959999999999999,2.262,4.040000000000001,-2.262,3.490000000000001,67.11538461538463,13.572000000000005,23.581081081081084,800.0,PARTIAL,0.20465116279069767,1073.9551162790697
5022896180494.0,6972815752730.0,B0FFH7RY3R,Assorted England Gel Window Stickers (15x55cm),"Vicloon Baby Bandana Dribble Bibs Drool Bibs, 10pc Infant Teething Soft and Absorbent with Adjustable Snaps, Bib Set for Unisex Newborn Toddlers Aged 0-36 Months",https://angelwholesale.co.uk/clothing/accessories/hats-and-mittens/girls-hats-and-mittens/england-adjustable-baseball-caps-assorted-/p1058104.html,https://www.amazon.co.uk/dp/B0FFH7RY3R,700.0,Available (see Keepa data),,1.0,0.852,0.71,6.49,0.97,2.65,0.55,1.081666666666666,0.976,1.0783333333333345,-0.976,0.5283333333333344,41.93121693121702,5.856,9.768875192604025,700.0,PARTIAL,0.2318840579710145,1073.716739130435
5012866322139.0,,B0D2H5FPWX,Giant Play Food Set (2 Assorted),"Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kids Picnic Basket, Toy Food with Pizza Toy, Plastic Food Cutting Toys, Play Kitchen Accessories - Fake Food, Boys Girls Gifts",https://angelwholesale.co.uk/Item/Play-Food-2-Assorted-toy04905,https://www.amazon.co.uk/dp/B0D2H5FPWX,800.0,Available (see Keepa data),,1.0,7.392,6.16,17.76,2.66,3.45,0.55,2.959999999999999,2.564,2.530000000000001,-2.564,1.980000000000001,29.50819672131149,15.384,13.378378378378384,800.0,PARTIAL,0.20465116279069767,1072.4451162790697
5015302106478.0,5050203412082.0,B0D8BHFLX2,Rubber Ducks (Pack of 3),Henbrandt 12 x Mini Christmas Rubber Ducks 12 Assorted Xmas Designs Children’s Duckies Variety Pack Cruising Ducks Kids Bath Toys Stocking Filler Games Bathtub Play for Boys and Girls,https://angelwholesale.co.uk/toys/bath-toys/pack-of-3-3-bath-boats-10-5x5x3-5-cm-/p1053432.html,https://www.amazon.co.uk/dp/B0D8BHFLX2,500.0,Available (see Keepa data),Available (see Keepa data),5.0,1.212,1.01,9.18,1.54,3.13,0.55,1.5299999999999994,1.246,1.9700000000000004,-1.246,1.4200000000000004,91.02564102564104,7.475999999999999,18.56209150326798,500.0,PARTIAL,0.2028985507246377,1071.7098550724638
742554361403.0,5060847680037.0,B07WLLXKXR,Letter Balloon - F - Silver (34 Inch),Dermaplaning Tool (9 Count) – Easy to Use Dermaplane Razor for Face – Practical Hair Remover Blade for Eyebrows and Peach Fuzz – Facial Shaver for Women That Helps Exfoliate and Smooth the Skin,https://angelwholesale.co.uk/Item/14-inch--Letter-Balloon---F---Silver-msc04397,https://www.amazon.co.uk/dp/B07WLLXKXR,700.0,Available (see Keepa data),,1.0,0.84,0.7,9.97,0.8,1.52,0.55,1.661666666666667,0.7140000000000001,5.288333333333333,-0.7140000000000001,4.738333333333333,379.06666666666666,4.284,57.03109327983952,700.0,PARTIAL,0.16521739130434782,1071.260072463768
5056721848570.0,721691974479.0,B0DCVZ4SDM,Round Natural Seagrass Basket (H15.5cm x D21cm),"Novelty Gifts For Men Funny Socks, Gamer Stocking Fillers For Teenage Boys Christmas Stocking Fillers Gift Ideas For Men Birthday",https://angelwholesale.co.uk/packaging/baskets-containers/round-natural-seagrass-basket-h12-5cm-x-d12cm-/p1064220.html,https://www.amazon.co.uk/dp/B0DCVZ4SDM,900.0,,,1.0,2.9880000000000004,2.49,8.99,0.72,1.52,0.55,1.498333333333333,1.0560000000000005,2.7616666666666667,-1.0560000000000005,2.211666666666667,72.75219298245614,6.336,29.521690767519463,900.0,PARTIAL,0.18181818181818182,1070.3934848484848
5012866082088.0,,B0D73JQN53,Tumbling Friend Unicorn,"ZIMPLI - 6 x Large Unicorn Surprise Bath Bombs, 6 Surprise Unicorn Toys Included, Bath Toys for Girls, Bubble Baff Bomb Gift Set, Xmas Gift",https://angelwholesale.co.uk/Item/Wood-Tumbling-Tower-Large-toy07488,https://www.amazon.co.uk/dp/B0D73JQN53,700.0,Available (see Keepa data),Available (see Keepa data),3.0,2.748,2.29,14.47,2.17,3.13,0.55,2.411666666666667,1.628,4.468333333333334,-1.628,3.918333333333334,137.96948356807513,9.768,32.49481686247409,700.0,PARTIAL,0.16049382716049382,1069.9677160493827
5056283821394.0,,B0CLSHKHM1,Red Deer Toys Archery Set 3pc,"JOYIN 6 PCS 4oz/118ml Big Bubble Wands Age 3+ for Kids, 14.6""/37cm Bubble Wand with Bubbles Refill Solution for Summer Toy Party Favor, Outdoors Activity, Easter Basket Stuffers, Birthday Gift",https://www.poundwholesale.co.uk/hoot-friction-bubble-blaster-gun-assorted-colours,https://www.amazon.co.uk/dp/B0CLSHKHM1,900.0,,,,1.068,0.89,7.64,0.9549999999999998,2.41,0.55,1.2733333333333334,0.961,2.111666666666666,-0.961,1.561666666666666,108.44907407407402,5.765999999999999,24.528795811518314,900.0,PARTIAL,0.18099547511312217,1069.661214177979
