EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,NEWproit,NEWROi
5.05634E+12,,FALSE,B0CKX1FG7P,DID 55cm Bicycle Lock Assorted With 2 Keys,"Cliselda Acrylic Display Case with Black Base, Assemble Acrylic Display Box, Acrylic Box Curiosity Cube Plastic Dustproof Showcase for Display Collectible Action Figures Toys (20x20x30 cm)",https://www.poundwholesale.co.uk/did-55cm-bicycle-lock-assorted-with-2-keys,https://www.amazon.co.uk/dp/B0CKX1FG7P,,Available (see Keepa data),,1,0.888,0.74,26.99,4.05,3.26,0.55,4.498333333,1.72,14.44166667,-1.72,13.89166667,1076.873385,10.32,51.46968013,14.03966667,1229.392878
5.0153E+12,,FALSE,B0FFMG6MLM,Baby Shower Keepsake Advice Cards 12 Pack,"Replacement Evaporator Fan Motor for Refrigerator, DA31-00287B Freezer Cooling Fan Motor, # Replacing DA31-00334C, DA31-00334A, DA96-00968A, AP6803162, AP5948644, EAP9494284",https://www.poundwholesale.co.uk/baby-shower-keepsake-advice-cards-12-pack,https://www.amazon.co.uk/dp/B0FFMG6MLM,,,Available (see Keepa data),1,0.264,0.22,17.49,2.62,2.94,0.55,2.915,1.266,8.795,-1.266,8.245,1070.779221,7.596,47.14122356,8.289,1141.735537
5.0153E+12,8.88793E+11,FALSE,B00UBMO4L8,Modena Two Tier Glass Cake Stand 18cm/23cm,"HP CF403A 201A Original LaserJet Toner Cartridge, Magenta, Single Pack, Standard",https://www.poundwholesale.co.uk/modena-two-tier-glass-cake-stand-18cm-23cm,https://www.amazon.co.uk/dp/B00UBMO4L8,,Available (see Keepa data),,21,4.164,3.47,72.59,10.89,3.06,0.55,12.09833333,3.594,43.07166667,-3.594,42.52166667,1057.752902,21.564,58.57785737,43.21566667,1299.328523
5.05325E+12,5.06502E+12,FALSE,B0FBRDFMMS,Pan Aroma Lemongrass Scented Gel Air Freshener 190g,"GOD 1 Litre Odour Neutraliser Gel – Lemon Sherbet Scent. Fast Acting & Long Lasting Air Freshener. Extra Strong Formula. Eliminates Tough Odours in Kitchens, Garages, Utility Rooms & More (2 Pack)",https://www.poundwholesale.co.uk/pan-aroma-lemongrass-scented-gel-air-freshener-190g,https://www.amazon.co.uk/dp/B0FBRDFMMS,,,Available (see Keepa data),1,0.852,0.71,24.5,3.0625,2.8,0.55,4.083333333,1.4245,13.84416667,-1.4245,13.29416667,1055.092593,8.547,54.26190476,13.43616667,1201.803816
5.05634E+12,,FALSE,B0CPPJRGJ6,DID Foil Containers & Lids 18 Pack 14.5cm X 12cm X 4.5cm,"UoYeet Football Display Case with Ball Holder, Clear Display Box for Full Size Football Soccer Volleyballs, Sports Memorabilia Showcase",https://www.poundwholesale.co.uk/did-foil-containers-lids-18-pack-14-5cm-x-12cm-x-4-5cm,https://www.amazon.co.uk/dp/B0CPPJRGJ6,,Available (see Keepa data),,1,1.536,1.28,35.99,5.4,3.48,0.55,5.998333333,2.142,19.83166667,-2.142,19.28166667,1053.642987,12.852,53.57506715,19.53766667,1241.274884
5.03867E+12,8.70022E+12,FALSE,B0DT9PMDGV,Prima Stainless Steel Round Dough Cutter,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/prima-stainless-steel-round-dough-cutter,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,Available (see Keepa data),2,1.104,0.92,32,4.16,5.57,0.55,5.333333333,2.24,16.01666667,-2.24,15.46666667,1052.154195,13.44,48.33333333,15.65066667,1217.003629
5.03867E+12,5.06066E+12,FALSE,B0B5H4KQ9C,Marksman Hand Trowel With Foam Handle,"Kingswood Green® 4-Piece Garden Tool Gift Set | Ash Wooden Handles | Trowel, Hand Transplanter, Weeder & Fork | Made with Stainless Steel",https://www.poundwholesale.co.uk/marksman-hand-trowel-with-foam-handle,https://www.amazon.co.uk/dp/B0B5H4KQ9C,,Available (see Keepa data),,1,0.852,0.71,25.99,3.9,3.26,0.55,4.331666667,1.684,13.78833333,-1.684,13.23833333,1050.661376,10.104,50.93625753,13.38033333,1196.809779
5.0153E+12,5.0552E+12,FALSE,B0D9NFJNZG,Bello Plastic Teal Honeycomb Pitcher 2l,"The Original Gluggle Jug - Orange Glug Jug in XL, 28cm 1.4L - Gug Glug Fish Shaped Jug - Decorative Glugging Water, Cocktail, Wine & Gin Pitcher, Decanter or Vase - Hand Made in Britain",https://www.poundwholesale.co.uk/bello-plastic-teal-honeycomb-pitcher-2l,https://www.amazon.co.uk/dp/B0D9NFJNZG,,,Available (see Keepa data),3,2.208,1.84,44.99,6.75,3.25,0.55,7.498333333,2.478,25.65166667,-2.478,25.10166667,1050.27894,14.868,55.79388012,25.46966667,1259.627432
5.05325E+12,,FALSE,B0D985QHLM,Pan Aroma Sleeve Wrap Apple & Cinnamon Scented Candle,"M&SENSE Creamy Vanilla Pie Extra Large Soy Scented Candle Gifts for Women, 990g 150H Candles for Men Long Burning, 3-Wick Home Fragrance Strong Scented Candle, Sweet Organic Candles for Home Decor",https://www.poundwholesale.co.uk/pan-aroma-sleeve-wrap-apple-cinnamon-scented-candle,https://www.amazon.co.uk/dp/B0D985QHLM,,Available (see Keepa data),,1,0.912,0.76,29.69,4.95,4.73,0.55,4.948333333,2.198,14.30166667,-2.198,13.75166667,1049.745547,13.188,46.31750309,13.90366667,1200.662061
5.06005E+12,4.27E+12,FALSE,B09315FT1N,Dentyl Dual Action Smooth Mint Mouthwash 100ml,"Delvina Bad Breath Treatment for Adults - 90 Vegan Lozenges for Oral Health - Oral Probiotics Tablets for Mouth - Fresh Breath Without Mouthwash, Tongue Cleaner - Bio Cultures with Vitamin D3 - Lemon",https://www.poundwholesale.co.uk/dentyl-dual-action-smooth-mint-mouthwash-500ml,https://www.amazon.co.uk/dp/B09315FT1N,,Available (see Keepa data),,1,0.468,0.39,19.97,3,2.94,0.55,3.328333333,1.376,10.31166667,-1.376,9.761666667,1038.475177,8.256,48.88165582,9.839666667,1141.492653
5.03867E+12,4.01054E+12,FALSE,B0897XP3ZR,Avante Plain White Salad Bowl 23cm,"HMF 46800900 Acrylic Display Case for Model Cars / Figures, Various Sizes, Transparent, 30 x 14 x 15 cm",https://www.poundwholesale.co.uk/plain-white-salad-bowl-23cm,https://www.amazon.co.uk/dp/B0897XP3ZR,,Available (see Keepa data),,1,1.44,1.2,35.74,5.36,4.73,0.55,5.956666667,2.368,18.49333333,-2.368,17.94333333,1025.333333,14.208,50.2051856,18.18333333,1204.19426
5.03867E+12,,FALSE,B0F5MQGP3L,Elpine 4 Gang 13A Neon Light Surge Protected Extension Cable 2m,Golf Country Club Toy Building Set for Adults Compatible with Lego Golf & Lego Architecture- Golf Course Town Collection Kit 1860 Pcs for Adults & Teen & Golf Lovers,https://www.poundwholesale.co.uk/elpine-4-gang-13a-neon-light-surge-protected-extension-cable-2m,https://www.amazon.co.uk/dp/B0F5MQGP3L,,,,,5.532,4.61,84.99,10.62375,2.8,0.55,14.165,3.71675,52.79125,-3.71675,52.24125,1012.427326,22.3005,61.46752559,53.16325,1254.441954
5.03867E+11,,FALSE,B09ZHVJJPM,Prima Stainless Steel Oval Hand Grater 8.8cm X 5.7cm,"Ecoseao Acrylic Display Case with Mirror, Clear Acrylic Organizer Box Assemble Countertop Dustproof Protection Showcase for Action Figures, Collectibles, Home Storage (35cmx25cmx15cm)",https://www.poundwholesale.co.uk/prima-stainless-steel-hand-grater-8-8cm-x-5-7cm,https://www.amazon.co.uk/dp/B09ZHVJJPM,,,,,1.104,0.92,26.99,3.37375,2.8,0.55,4.498333333,1.52875,15.39791667,-1.52875,14.84791667,1010.062358,9.1725,55.01265901,15.03191667,1168.889321
5.05325E+12,5.06502E+12,FALSE,B0DYL6KW67,Doff 2-In-1 Flying Insect Killer 2 Pack EXPIRED STOCK,"Acrylic Clear Large Display Case for Figures – 4-Tier Adjustable Stand with Magnetic Door, Dustproof Showcase for Popmart Action Figures, Collectibles Mini Lego Models Funko Pop(1 Pack)",https://www.poundwholesale.co.uk/doff-2-in-1-flying-insect-killer-2-pack,https://www.amazon.co.uk/dp/B0DYL6KW67,,,Available (see Keepa data),1,1.272,1.06,28.99,3.62375,2.8,0.55,4.831666667,1.60675,16.67458333,-1.60675,16.12458333,1001.526915,9.6405,55.62119122,16.33658333,1168.568193
