EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5000159303651,9781548667986,TRUE,1548667986,Stunt Dumping 10cm Transcar Friction With Rubber Grip Wheels In Display Box(30cm X 32cm X 5cm),The Fun Knowledge Encyclopedia: The Crazy Stories Behind the World's Most Interesting Facts: 1 (Trivia Bill's General Knowledge),https://www.poundwholesale.co.uk/stunt-dumping-10cm-transcar-friction-with-rubber-grip-wheels-in-display-box-30cm-x-32cm-x-5cm,https://www.amazon.co.uk/dp/1548667986,,,Available (see Keepa data),19,0.852,0.71,12.99,1.95,2.72,0.55,2.165,0.142,5.445,2.023,2.872,227.9365079,6.072,22.10931486
5038673540597,,TRUE,B09PY8WQHJ,3pc Torx Screwdriver Set,"JOREST 38Pcs Precision Screwdriver Set, Tool Kit with Security Torx T5 T6 T8 T9, Triwing Y00, Star P5, etc, Repair for Laptop, Switch, PS4, Xbox, MacBook, iPhone, Ring Doorbell, Watch, Glasses, etc",https://www.poundwholesale.co.uk/3pc-torx-screwdriver-set,https://www.amazon.co.uk/dp/B09PY8WQHJ,,Available (see Keepa data),,4,0.78,0.65,9.99,1.3,1.73,0.55,1.665,0.13,4.645,1.535,2.56,213.3333333,4.36,25.62562563
84001191097,,FALSE,B06XJSJCTM,Crayola Assorted Pastel Poms 180pc,"Caydo 240 Pieces 2.5cm Kids Craft Pom Poms, Assorted Colors Pompoms Balls for DIY Creative Crafts Decorations",https://www.poundwholesale.co.uk/crayola-assorted-pastel-poms-180pc,https://www.amazon.co.uk/dp/B06XJSJCTM,400,,,,0.648,0.54,8.99,1.3485,2.8,0.55,1.498333333,0.108,2.803166667,1.390333333,0.862833333,79.15902141,5.3465,9.597701149
5.0153E+12,9.78036E+12,FALSE,356517829,Bello Assorted Colour Glass Drinking Straws Set 3 Pack,The Mercy of Gods: The spectacular new space opera from the master of SF (The Captive's War),https://www.poundwholesale.co.uk/bello-assorted-colour-glass-drinking-straws-set-3-pack,https://www.amazon.co.uk/dp/0356517829,,,Available (see Keepa data),26,1.944,1.62,10.99,1.35,2.42,0.55,1.831666667,0.324,3.768333333,1.507666667,1.710666667,78.83256528,6.264,15.56566576
5.03385E+12,,FALSE,B0DW48H15D,Colour Changing Metal Racing Car CDU Assorted Colours,"MIXEL Mini Racing Cars, Pull Back Friction Powered, Providing Hours of Engaging Entertainment, Bright and Vibrant Colours, Mini Push and Go Car, Metal Toy Cars, 30 Pcs",https://www.poundwholesale.co.uk/colour-changing-metal-racing-car-cdu-assorted-colours,https://www.amazon.co.uk/dp/B0DW48H15D,,,,,3.42,2.85,15.99,2.3985,2.8,0.55,2.665,0.57,5.2765,2.095,2.6315,77.39705882,9.1685,16.45716073
5052578012607,,TRUE,B0DH4WBPD4,Bettina W40 Catering Heavy Duty Scourers 10pc,"Kiprim Pinless Damp Meter Moisture Meter for Wood, Walls, Masonry – Accurate Non-Destructive Testing with Audible and Visual Alarm,4 Modes, Data Hold, and Mute Function",https://www.poundwholesale.co.uk/bettina-w40-catering-heavy-duty-scourers-10pc,https://www.amazon.co.uk/dp/B0DH4WBPD4,,Available (see Keepa data),,4,2.604,2.17,19.99,2.6,2.94,0.55,3.331666667,0.434,8.948333333,2.897666667,5.500666667,202.2303922,8.694,27.51709188
5056683917758,774980624036,TRUE,B0CM5S22WL,Austin Cole Men's Black Thermal Beanie Hat,"ACUSHLA Waterproof Windproof Cuff Beanie Winter Hat Stretchy Soft Cuffed Wooly Beanie with Thermal Thick Fleece Lining, Gifts for Men/Women/Her/Him",https://www.poundwholesale.co.uk/austin-cole-men-s-black-thermal-beanie-hat,https://www.amazon.co.uk/dp/B0CM5S22WL,,,Available (see Keepa data),1,3.528,2.94,21.79,2.36,2.9,0.55,3.631666667,0.588,9.958333333,3.043666667,6.364666667,182.3686724,9.338,29.20911733
5060195620877,,TRUE,B0F8HHXG2X,Coca-Cola Money Tin,"Small Money Bottles for Coins and Notes, Stylish 1Feet Money Bottle Tin Plastic Piggy Bank Moneyboxes Inspired Box Pot (Coca Cola 1Feet)",https://www.poundwholesale.co.uk/coca-cola-money-tin,https://www.amazon.co.uk/dp/B0F8HHXG2X,,,,,0.852,0.71,11.98,1.797,2.8,0.55,1.996666667,0.142,4.676333333,1.854666667,2.271666667,180.2910053,5.999,18.96215915
5038673232522,5055595850351,TRUE,B07BSQB5TH,100% Cotton Monocheck Assorted Colour Tea Towel 2 Pack,Shipping Forecast Area Tea Towel,https://www.poundwholesale.co.uk/100-cotton-monocheck-assorted-colour-tea-towel-2-pack,https://www.amazon.co.uk/dp/B07BSQB5TH,,Available (see Keepa data),Available (see Keepa data),2,0.936,0.78,10,1.5,1.69,0.55,1.666666667,0.156,4.363333333,1.510666667,2.302666667,173.1328321,4.676,23.02666667
5.06008E+12,5.06096E+12,FALSE,B09YVGPKLK,3 Pack Size E Padded Envelopes 240mm X 270mm,"FIRST CHOICE KAYA 25, 50, 100 DL White Mailing Envelopes Self Seal for Posting mailing Home Office and Ecommerce Peel and Seal (100)",https://www.poundwholesale.co.uk/3-pack-size-e-padded-envelopes-240mm-x-270mm,https://www.amazon.co.uk/dp/B09YVGPKLK,,,Available (see Keepa data),1,0.72,0.6,6.99,1.05,1.87,0.55,1.165,0.12,2.305,1.045,0.71,61.73913043,4.19,10.15736767
5055665501244,,TRUE,B0DM59WZY4,2-In-1 Black Universal Usb Charge And Sync Data Cable,"ONGAHON Multi Charging Cable MFi Certifed 2 In 1 Lightning & Type C Multi Head Charger Cord 66W Max Fast Charge Compatible with All Type C Android Device and All iOS Phone Devices (1, Black, 1 Meter)",https://www.poundwholesale.co.uk/2-in-1-usb-charge-and-sync-data-cable-compatible-with-all-android-and-iphone4-ipad-2,https://www.amazon.co.uk/dp/B0DM59WZY4,,Available (see Keepa data),,1,0.516,0.43,7.19,1.08,1.5,0.55,1.198333333,0.086,2.981666667,1.112333333,1.319333333,134.6258503,3.646,18.34955957
5060082933127,3380743103891,TRUE,B0DJ35KXMS,Black Pocket Calculator,"Lexibook, Manga, Pocket Calculator with Protection Cover, Conventional and Advanced Calculator Functions, battery and solar-powered, Black, C45MAN",https://www.poundwholesale.co.uk/black-pocket-calculator,https://www.amazon.co.uk/dp/B0DJ35KXMS,,,Available (see Keepa data),2,0.72,0.6,7.85,1.18,1.67,0.55,1.308333333,0.12,3.091666667,1.188333333,1.353333333,117.6811594,4.12,17.23991507
