ASIN,EAN,EAN_OnPage,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,SupplierTitle
B005YEMNYS,5050375000254,5050375000254.0,-1.4116666666666662,-94.11111111111109,,,151 SUPER GLUE 5G TWIN PACK
B005ZUN5ZW,5032759035281,5032759035281.0,0.1866666666666666,13.05361305361305,,,AMTECH PADLOCK HEAVY DUTY 25MM
B006RY22JA,5025364024580,5025364024580.0,-0.5616666666666663,-53.49206349206346,,,TIDYZ RUBBLE BAG HEAVY DUTY 7BAGS 32L
B006W766XK,5032759026715,5032759026715.0,-0.8333333333333328,-44.80286738351251,,,AMTECH WIRE BRUSH AND SCRAPER
B006YVRWNW,5032759033874,5032759033874.0,-2.254999999999998,-34.01206636500751,50.0,50.0,AMTECH RIGHT ANGLE DRILL ATTACHMENT KEYLESS
B006ZILV0O,5032759025121,5032759025121.0,-0.7716666666666661,-38.20132013201317,,,AMTECH MINI END NIPPER PLIER
B006ZXZGLE,5032759032686,5032759032686.0,-0.8316666666666659,-33.67071524966259,,,AMTECH BUNGEE CORDS 2PC 48INCH
B0070NB9UA,5032759034284,5032759034284.0,-0.5958333333333334,-21.356033452807647,,,AMTECH STAPLE REMOVER H/D
B0070WYQPG,5032759021567,5032759021567.0,-1.7283333333333333,-49.10037878787878,,,AMTECH PADLOCK DISC 60MM
B0070X77ZG,5032759031467,5032759031467.0,-0.5333333333333339,-16.064257028112465,,,AMTECH PADLOCK HEAVY DUTY 63MM
B0071NVA6C,5032759030675,5032759030675.0,-1.6633333333333329,-40.868140868140856,100.0,100.0,AMTECH PLIER PUNCH & EYELET
B00766FB6E,5032759011308,5032759011308.0,-0.6016666666666659,-13.70539104024296,,,AMTECH JOINT UNIVERSAL 3PC SET
B007FY0E3W,5032759032648,5032759032648.0,-1.675,-77.90697674418604,,,AMTECH WIRE BRUSH LONG HANDLE
B007I0HBC0,5038673620060,5038673620060.0,-1.3449999999999998,-89.66666666666666,,,MARKSMAN SCREWS TAPPING/ANCHORS ASS
B007JVO85Q,5038673620046,5038673620046.0,-2.390416666666667,-171.97242206235012,,,MARKSMAN SCREWS CHIP BOARD 100PCE ASSORTED
B007JVVVRE,5038673620077,5038673620077.0,-2.7733333333333325,-199.5203836930455,,,MARKSMAN NAILS CARPET TACKS ASS
B007QWDLV0,5055319558235,5055319558235.0,-0.3099999999999995,-22.302158273381256,,,RAPIDE PAINT BRUSH 1 INCH 3PC
B007T6V7LY,5055319571203,5055319571203.0,-1.4766666666666666,-98.44444444444444,,,PAINT FACTORY NEON BLUE 200ML
B007TIV4HY,5055319571326,5055319571326.0,-0.945,-53.08988764044944,,,PAINT FACTORY BLACKBOARD BLACK 250ML
B007X2EO50,5032759037032,5032759037032.0,-0.2283333333333332,-13.431372549019605,50.0,50.0,AMTECH STAPLES 10MM 1000PCS
B007XOO5J8,5032759019663,5032759019663.0,-2.143333333333333,-49.7293116782676,,,AMTECH BUILDERS LINE 150M
B0081SZHRY,5032759026289,5032759026289.0,-2.9399999999999995,-76.36363636363636,,,AMTECH PLIERS CUTTING INSULATED H/D
B0089NLFH2,5032759013630,5032759013630.0,-0.8450000000000004,-19.97635933806147,,,AMTECH CLAMP G TYPE HEAVY DUTY 4INCH
B008BQZGG8,5032759038664,5032759038664.0,-1.81,-48.39572192513367,,,AMTECH PADLOCK RHOMBIC IRON 60MM
B008BQZGH2,5032759038626,5032759038626.0,-1.0466666666666669,-67.96536796536797,100.0,100.0,AMTECH PADLOCK RHOMBIC IRON 25MM
B008BQZGIG,5032759038640,5032759038640.0,0.0050000000000007,0.2222222222222569,,,AMTECH PADLOCK RHOMBIC IRON 40MM
B008BQZINO,5032759038633,5032759038633.0,0.1866666666666665,9.982174688057032,,,AMTECH PADLOCK RHOMBIC IRON 30MM
B008CYQQBS,5032759016259,5032759016259.0,-1.6116666666666648,-26.77187153931337,,,AMTECH PRO CAULKING GUN 2000
B008CYTYOY,5032759002382,5032759002382.0,-1.985,-73.5185185185185,50.0,50.0,AMTECH WRECKING BAR 18INC
B008CYWSN8,5032759035885,5032759035885.0,3.661666666666668,24.169416941694177,,,AMTECH SOCKET 30PC SET
B008G0646A,5032759038893,5032759038893.0,-0.4783333333333328,-10.11275546159266,,,AMTECH LOCK SECURITY DOOR CHAIN
B008MVG6XO,5032759038244,5032759038244.0,-2.7816666666666654,-84.03826787512585,50.0,50.0,AMTECH TORX KEY FOLDING SET 8PCE
B008MVIC3Q,5032759038220,5032759038220.0,-0.5383333333333333,-16.718426501035196,,,AMTECH HEX KEY FOLDING SET 8PCE
B008PQ7YAU,5032759035359,5032759035359.0,0.5566666666666686,16.13526570048315,,,AMTECH CHISEL 1/2 INCH
B008PQ9AEI,5032759032051,5032759032051.0,2.1133333333333324,44.21199442119942,,,AMTECH SCREWDRIVER 6PC SET
B008PQ9IPO,5032759035342,5032759035342.0,-0.5716666666666661,-13.263727764887845,100.0,100.0,"AMTECH FINISHING TROWEL 400MM(16"") X 100MM(4"")"
B008PQ9SEU,5032759012152,5032759012152.0,1.288333333333335,32.94970161977839,,,AMTECH CHAIN 60 INCH
B008PQ9WJ6,5032759014200,5032759014200.0,-1.866666666666666,-48.48484848484848,,,AMTECH DRILL FLAT WOOD 6PC SET
B008PQAKEC,5032759014996,5032759014996.0,-0.3266666666666655,-7.509578544061278,,,AMTECH PLIER WATERPUMP 10INCH
B008PQAQPA,5032759038930,5032759038930.0,-1.5749999999999995,-27.10843373493975,,,AMTECH STUBBY RACHET/SCREWDRIVER BIT SET
B008PQB2E4,5032759012015,5032759012015.0,-0.1500000000000001,-3.605769230769234,,,AMTECH RIBBED LEVEL12INCH
B008PQC5HW,5032759010547,5032759010547.0,-2.21,-41.77693761814745,,,"AMTECH CEMENT FINISHING TROWEL 600MM(16"") SOFT GRIP HANDLE"
B008PQCXRE,5032759012916,5032759012916.0,-1.805,-56.05590062111801,,,AMTECH ROUND TIP ART B/SET XL 12PC
B008PQDF12,5032759032327,5032759032327.0,0.1366666666666665,3.996101364522412,,,AMTECH ROLL PIN ASSORTED SET
B008PQDZIK,5032759029198,5032759029198.0,-1.0400000000000005,-20.5940594059406,,,AMTECH CORE DRILL 35MM
B0093JY82K,5026180084031,5026180084031.0,-9.63,-88.26764436296975,,,APOLLO GLASS JAM JAR 350ML PK12
B0096AWHKG,5032759010561,5032759010561.0,-1.1116666666666677,-23.60226468506725,500.0,500.0,AMTECH TROWEL TILE GROUTING
B00974Z3DE,5032759036493,5032759036493.0,-0.8583333333333332,-50.49019607843136,,,AMTECH STAPLES 6MM 1000PCS
B0099SCGKG,5032759006182,5032759006182.0,-1.621666666666666,-41.903531438415136,,,AMTECH PADLOCK BRASS LONG SHACKLE 38MM
B009CB7OPC,5032759015887,5032759015887.0,-0.9433333333333332,-46.46962233169128,,,AMTECH MAGNETIC PICK UP TOOL 8LB
B009FV2FJ4,5032759039210,5032759039210.0,-1.6350000000000005,-35.69868995633188,,,AMTECH MINI TOOL KIT 25PC
B009Q5G10S,5032759002139,5032759002139.0,-1.2716666666666672,-53.43137254901963,50.0,50.0,AMTECH SCRAPER W/HANDLE 3INCH
B00A74RSJK,5032759018512,5032759018512.0,-4.711666666666665,-99.61240310077515,,,AMTECH ROPE 30M X 8MM PP
B00ABJQWKW,5032759027668,5032759027668.0,1.301666666666666,51.449275362318815,,,"AMTECH GAUGING 180MM(7"") SOFT GRIP"
B00ABJTFG0,5032759039005,5032759039005.0,-1.2683333333333335,-61.5695792880259,,,AMTECH PADLOCKS LONG SHACKLE 38MM
B00AMFIRGM,5032759004294,5032759004294.0,-0.7683333333333338,-47.7225672877847,,,AMTECH SCREWDRIVER OFFSET 3PC SET
B00AMFIYF6,5032759032778,5032759032778.0,-0.5183333333333333,-17.935409457900807,,,AMTECH BUNGEES 6PC
B00BPA0QX0,5038673720173,5038673720173.0,-0.3199999999999988,-23.021582733812863,,,MARKSMAN TAPE GAFFER BLACK 48MX12M
B00CDL34PW,5030481930119,5030481930119.0,1.2350000000000003,101.22950819672134,,,PPS FOIL 5 CONTAINERS & LID 200X111X55MM
B00CKL7C58,5038673591469,5038673591469.0,-5.043333333333333,-362.8297362110312,,,MARKSMAN PADLOCK 32MM
B00CQ1RX1A,5055319576673,5055319576673.0,-1.6699999999999993,-71.36752136752133,50.0,50.0,PAINT FACTORY FROSTING SPRAY 400ML
B00D2W55A8,5032759002122,5032759002122.0,-1.481666666666667,-79.23351158645278,100.0,100.0,AMTECH SCRAPER W/HANDLE 1INCH
B00EZ4VGX2,5050375108080,5050375108080.0,-1.5549999999999995,-103.66666666666664,100.0,100.0,151 INSTANT FILLER CARTRIDGE WHITE 280ML
B00H590U1S,5017403091028,5017403091028.0,0.0966666666666665,6.954436450839322,,,BLACKSPUR DUST MASK 6PC
B00LGUDA8C,5032759041749,5032759041749.0,-2.7350000000000003,-27.76649746192893,100.0,100.0,AMTECH WIRE BRUSH CLEANING 20PC KIT
B00LQOHBH4,5032759037049,5032759037049.0,-1.3383333333333327,-78.7254901960784,,,AMTECH STAPLES 12MM 1000PCS
B00LQP0SFA,5032759020324,5032759020324.0,-0.4399999999999993,-24.175824175824133,,,AMTECH SCRAPER SOFT GRIP 3INCH
B00LQP2RBI,5032759038138,5032759038138.0,-0.8650000000000004,-39.86175115207375,,,AMTECH TROWEL MARGIN - SOFT GRIP5X2
B00LQQ4XLO,5032759041343,5032759041343.0,0.5350000000000008,15.97014925373137,,,AMTECH RATCHET TIE DOWN 25MM
B00LQQYZQM,5032759039012,5032759039012.0,-2.3999999999999995,-94.11764705882352,,,AMTECH PADLOCKS LONG SHACKL  50MM
B00NMGC5U2,5032759041947,5032759041947.0,-1.5283333333333329,-79.60069444444441,,,AMTECH GLASS AND TILE SCRAPER
B00WZI1NVA,5022822192980,5022822192980.0,0.425,26.39751552795031,,,STATUS LED BC GLS PEARL W/W 6W EACH
B00XHT38K0,5032759042319,5032759042319.0,-0.9633333333333334,-54.11985018726592,500.0,500.0,AMTECH PENCILS CARPENTER 6PC
B0132UNVJQ,5000204771602,5000204771602.0,-3.4766666666666657,-22.200936568752656,200.0,200.0,GLADE AIR FRESHENER SANDALWOOD & JASMINE 300ML PK12
B013YPKMCS,5032759043149,5032759043149.0,-0.35,-23.809523809523807,50.0,50.0,AMTECH TARPAULIN REPAIR EYELET 10SET
B0156NFNNO,5032759042364,5032759042364.0,-0.116666666666666,-6.862745098039179,,,AMTECH ALLOY WHEEL CLEANING BRUSH
B0156NFWWQ,5032759043743,5032759043743.0,0.5450000000000006,13.42364532019706,,,AMTECH SCREWDRIVER 8PC SET
B0156NG37O,5032759043224,5032759043224.0,-3.3483333333333327,-44.76381461675579,,,AMTECH TOW ROPE 4M 2T
B017HG91I6,5032759043187,5032759043187.0,-2.3216666666666663,-25.428988682000725,,,AMTECH PADLOCK H/DUTY SECRUITY 70MM
B017HGOHUI,5032759043736,5032759043736.0,-0.9316666666666668,-15.450525152017692,,,AMTECH 4 DIGIT COMBINATION DISC PADLOCK 70MM
B01AZF2XT0,5038673640761,5038673640761.0,-0.0529166666666668,-3.806954436450851,,,MARKSMAN WIRE BRUSH WOOD HANDLE
B01CNSG0HS,5032759043996,5032759043996.0,-2.0283333333333324,-33.19694489907255,,,AMTECH SAW HARDPOINT 22INCH
B01LW37EGE,5032759043378,5032759043378.0,-0.3450000000000002,-16.350710900473942,,,AMTECH FLOOR TILE ADHESIVE APPLICATOR
B01NC0OXXX,5050375044463,5050375044463.0,0.3283333333333331,21.88888888888888,,,DENTIPLUS DENTAL FLOSS 50M PACK OF 2
B06XF5BRDP,5060194136270,5060194136270.0,-10.316666666666666,-97.14375392341492,,,AIRPURE REFILL SPARKLING BERRY 250ML PK12
B06XTP8NW3,5019685003201,5019685003201.0,-1.0116666666666658,-58.47784200385352,1000.0,,ECOBAG CLEAR RECYCLING 20 BAG 100LTR
B071KFPW6Z,5050028108566,5050028108566.0,-1.4733333333333332,-101.60919540229882,,,JCB LED D/L GLS BC 10W EACH
