ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0DSVKVGZR,5024418547235,SIL HAIR CLAW CLIPS PK3,"8 Pack Small Hair Claw Clips, No Slip Hair Clamps, Matte Hair Clips, Double Row Teeth Hair Clips, Rectangle Claw Clips, Hairs Accessories for Women Girls for Thin Thick Curly Hairs",0.6283333333333336,45.20383693045565,12.801358234295424,800.0,800.0,1.008,5.89,Available (see Keepa data),1.0
B0DWDQ4YGR,5055441468594,DRI AIRE REFILL BAGS 180G PACK OF 5,LEGO Star Wars 75413 Republic Juggernaut - Building Toy with 3 Droid Figures & 5 Minifigures incl. Ki-Adi-Mundi with a Lightsaber - Gift for 9+ Year Old Boys & The Clone Wars Fans,60.935,1761.1271676300578,73.12931293129313,100.0,100.0,3.492,99.99,Available (see Keepa data),26.0
B0DWDQGXLF,5022822223783,STATUS 2W ES CANDLE DAY LIGHT FILAMENT LED LIGHT BULB SINGLE,"LEGO City Police Boat Chase Set - incl. 2 Boat Toys, 3 Minifigures & a Shark Animal Figure - Gift for 6+ Year Old Boys & Girls - 60456",10.040416666666667,623.628364389234,60.697732997481104,200.0,200.0,1.272,19.85,,
B0DWDW7RK6,5056338359872,CHIPBOARD 40PC,"LEGO Harry Potter Hogwarts Castle: Herbology Class Set with Neville Longbottom, Hermione Granger & Prof. Sprout Minifigures - incl. 3 Mandrake Toy Plants - Gift for 8+ Year Old Girls & Boys - 76445",17.83166666666667,1524.0740740740746,64.86207941800546,700.0,700.0,0.744,32.99,Available (see Keepa data),35.0
B0DYN9KJP6,5025572017596,FALSE NAILS W/GLUE FRENCH,240Pcs French Tip False Nails - Short Press On Nails with White Tip for Women Girls - 15 Sizes Full Cover Stick & Glue On Reusable Square Fake Nails - French Manicure Decorations,3.7150000000000016,267.2661870503598,44.62462462462464,200.0,200.0,1.008,9.99,,1.0
B0DYZHX5JJ,5050565765581,EXFOLIATING GLOVES PAIR,"8 Pcs Shower Gloves Exfoliating, Double Sided Deep Clean Body Exfoliator Scrub for Women & Men (4 Pairs) Shower Gloves Bath Sponge Exfoliating Mitt for Shower, Spa, Massage, Dead Skin Cell Remover",0.4483333333333338,32.25419664268588,11.471215351812376,400.0,400.0,1.008,4.69,Available (see Keepa data),1.0
B0DZCD4Z9M,8691444195814,THL SPOON PLASTIC REUSABLE WHITE 100PCS,"Siraya Tech Flex TPU Air - Lightweight Active Foaming Flexible 3D Filament, Adjustable Hardness 65A-82A, High-Speed Printing, Easy to Use, for Wearables, Sports Gear & Soft Prototypes (Black, 1kg)",24.135,1711.7021276595742,72.4231057764441,50.0,50.0,1.032,39.99,Available (see Keepa data),1.0
B0DZD2JNHP,5056239433367,REACH AND PICK UP STICK,"Folliculitis Scalp Psoriasis Treatment Shampoo: Seborrheic Dermatitis, Dandruff & Itchy Scalp Relief with Salicylic Acid, Piroctone Olamine, Rosemary & Coconut Oil",7.045000000000003,258.0586080586081,45.23274478330659,2000.0,,2.616,18.69,Available (see Keepa data),2.0
B0DZF9T9YQ,5055566998365,BLOOME CANNISTER REFILLS COTTON FRESH,"12 x 250ml Refills Bundle for Automatic Air Freshener Dispenser, Fresh Linen, Citrus Zing, Sparkling Berry & Jasmine Essence Scents for a Refreshing Home or Office",10.249583333333332,683.3055555555554,61.52826413206604,100.0,100.0,1.14,19.99,,2.0
B0F1TGYSZ4,5022822219663,STATUS DIMMABLE LED GU10 PEARL D/LIGHT 5W 50W,"6 Pack GU10 LED Spot Bulbs Dimmable 5W, Replacement 50W Halogen Spotlight Bulb, Warm White 2700K, AC 220-240V, 120°Beam Angle, Energy Saving, MR16 Reflector Bulb for Hallway, Ceiling Spotlight",4.738333333333332,193.4013605442176,40.64331665475338,200.0,200.0,2.28,13.99,Available (see Keepa data),2.0
