EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,amazon_sales_badge,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5032759043972.0,,B01CNSGDK2,AMTECH COB LED WORKLIGHT 5W,Amtech S8170 5W COB LED worklight,https://www.efghousewares.co.uk/amtech-cob-led-worklight-5w,https://www.amazon.co.uk/dp/B01CNSGDK2,,,,,,3.6,3.0,7.19,0.89875,2.41,0.55,1.1983333333333333,1.3717500000000002,-0.3170833333333327,-1.3717500000000002,-0.8670833333333328,-24.42488262910797,8.2305,-14.471488178025025
5032759038091.0,,B00LQOZINS,AMTECH POINTING TROWEL WITH SOFT GRIP 130MM,"Amtech G0226 130mm (5"") Pointing Trowel with Soft Grip",https://www.efghousewares.co.uk/amtech-pointing-trowel-with-soft-grip-130mm,https://www.amazon.co.uk/dp/B00LQOZINS,50.0,50.0,,,,1.824,1.52,5.61,0.70125,2.41,0.55,0.9349999999999996,1.03625,0.0437500000000006,-1.03625,-0.5062499999999994,-24.456521739130405,6.217499999999999,-10.82887700534758
11179315093.0,11179315093.0,B00BU10QNO,UNIQUE ROUND 9IN LOVELY PINK 16 PLATES,"16 Pastel Pink 9"" Paper Plates",https://www.efghousewares.co.uk/unique-round-9in-lovely-pink-16-plates,https://www.amazon.co.uk/dp/B00BU10QNO,,,,Available (see Keepa data),3.0,1.68,1.4,5.69,0.85,2.42,0.55,0.9483333333333333,1.044,0.0716666666666672,-1.044,-0.4783333333333328,-24.529914529914503,6.263999999999999,-10.0878734622144
5032759009107.0,5032759009107.0,B008PF6B50,AMTECH PLIER SUPERIOR 8 INCH,"Amtech B0230 8"" (200mm) Superior Combination Plier",https://www.efghousewares.co.uk/amtech-plier-superior-8-inch,https://www.amazon.co.uk/dp/B008PF6B50,,,,Available (see Keepa data),7.0,3.504,2.92,6.38,0.83,1.87,0.55,1.0633333333333337,1.234,-0.3033333333333337,-1.234,-0.8533333333333337,-24.59173871277619,7.404,-16.05015673981192
,,B0GGY9PQCZ,AMTECH SLEEVED CHAIN SQAURE LINKS 47 INCH,"PATIKIL Barrier Chain, (5 Meters x 6mm Dia., Red), Plastic Safety Chain Links with S Hooks for Crowd Control Queue Line Parking Lot Fence Gate Concert Construction Site Decoration",https://www.efghousewares.co.uk/amtech-sleeved-chain-sqaure-links-47-inch,https://www.amazon.co.uk/dp/B0GGY9PQCZ,,,,,,9.588,7.99,12.49,1.56125,2.41,0.55,2.081666666666667,2.502250000000001,-1.5529166666666665,-2.502250000000001,-2.1029166666666663,-24.624316939890704,15.0135,-20.204163330664528
5032759017461.0,,B002A0A594,AMTECH PRO SUCTION CUP HEAVY DUTY 1850,Amtech J1850 30kg Suction Cup Lifter,https://www.efghousewares.co.uk/amtech-pro-suction-cup-heavy-duty-1850,https://www.amazon.co.uk/dp/B002A0A594,50.0,50.0,,,,3.048,2.54,6.69,0.83625,2.41,0.55,1.1150000000000002,1.2672500000000002,-0.2112499999999997,-1.2672500000000002,-0.7612499999999998,-24.63592233009708,7.6035,-13.654708520179367
5055566956761.0,5055566956761.0,B0142ZEQOO,UPSY DAISY FOR BABY MANICURE SET 3 PIECES,Baby Manicure Set ~ Manicure Kit ~ Scissors and Nail Clipper,https://www.efghousewares.co.uk/upsy-daisy-for-baby-manicure-set-3-pieces-125040,https://www.amazon.co.uk/dp/B0142ZEQOO,,,Available (see Keepa data),Available (see Keepa data),4.0,1.008,0.84,3.45,0.33,1.5,0.55,0.5749999999999997,0.644,0.2050000000000004,-0.644,-0.3449999999999996,-24.820143884892055,3.864,-11.999999999999986
3426470024389.0,3426470024389.0,B007XPW3BE,PYREX MEASURE & MIX 500ML BEAKER (sp),"Pyrex 500 ml Kitchen Lab Measure and Mix Beaker, Multicolour",https://www.efghousewares.co.uk/pyrex-measure-mix-500ml-beaker-sp-,https://www.amazon.co.uk/dp/B007XPW3BE,50.0,50.0,Available (see Keepa data),Available (see Keepa data),10.0,5.172,4.31,9.3,1.4,2.7,0.55,1.5499999999999998,1.792,-0.6599999999999984,-1.792,-1.2099999999999984,-24.897119341563755,10.752,-15.612903225806429
5032759009145.0,,B00D2W8N48,AMTECH PLIER CUTTING SIDE 8INCH,"Amtech B0630 8"" Superior Side Cutting PLIER",https://www.efghousewares.co.uk/amtech-plier-cutting-side-8inch,https://www.amazon.co.uk/dp/B00D2W8N48,,,,,,3.504,2.92,7.08,0.885,2.41,0.55,1.1799999999999995,1.3530000000000002,-0.3149999999999995,-1.3530000000000002,-0.8649999999999995,-24.927953890489903,8.117999999999999,-14.661016949152533
5020535010300.0,5020535010300.0,B076F42XHK,THE JOLLY GOOD GROOMING CO BEARD OIL 12X 30ml,Jolly Good Grooming Natural Cedarwood Beard Oil 30ml,https://www.efghousewares.co.uk/the-jolly-good-grooming-co-beard-oil-12x-30ml-103974,https://www.amazon.co.uk/dp/B076F42XHK,,,Available (see Keepa data),Available (see Keepa data),12.0,1.944,1.62,5.37,0.43,2.42,0.55,0.8949999999999996,1.0040000000000002,0.0050000000000007,-1.0040000000000002,-0.5449999999999993,-25.115207373271858,6.024,-12.178770949720652
5032759002085.0,5032759002085.0,B008CYQJGU,AMTECH TROWEL POINTING 150MM/6 INCH,"Amtech G0170 150mm (6"") Pointing trowel",https://www.efghousewares.co.uk/amtech-trowel-pointing-150mm-6-inch,https://www.amazon.co.uk/dp/B008CYQJGU,,,,Available (see Keepa data),6.0,1.248,1.04,5.46,0.71,2.65,0.55,0.91,0.99,0.1499999999999999,-0.99,-0.4000000000000001,-25.15723270440252,5.94,-8.791208791208796
