ASIN,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0CNK1H7KM,5056175973309,6958572504577.0,MAX LIMIT CYCLE PUNCTURE REPAIR KIT,"56-79 PCS Bike Tyre Puncture Repair Kit with Self-Adhesive Patches, Glue, Tyre Levers, Portable Storage Case for Road, Mountain, Commuter Bikes & Motorcycles",2.338333333333334,168.2254196642686,35.11889862327911,1000.0,,1.008,7.99,Available (see Keepa data),1.0
B0CPY9CN2Q,5034537018479,607376356993.0,LOCKSMITH PADLOCK TWIN PACK 38MM,"SEPOX® Trinity Keyed-Alike Padlocks Outdoor, Reinforced Laminated Steel Body Heavy-Duty 40MM, Uncuttable Standard Shackle, 3-Pcs-Pack, 6-Pcs Same Keys, for Gym Locker,Toolbox, Shed, Storage",3.035,111.17216117216115,30.426065162907268,200.0,200.0,2.616,11.97,Available (see Keepa data),1.0
B0CR47FX7K,5053249255842,5065018822018.0,PAN AROMA SCENTED SACHETS SOOTHING LAVENDER  PACK OF 2,Lavender Bags : 20 Dried Lavender Flowers Bags as Natural Air Freshener and Moth Repellent for Wardrobes – Wardrobe Fresheners – Car Freshener – Room Air Freshener – Lavender Sachets by Inovida,3.591666666666668,247.70114942528733,47.94215795328143,2000.0,,1.08,8.99,Available (see Keepa data),3.0
B0CV2JVDHV,5030481970702,5060737606161.0,PPS SINGLE WALL CUP WHITE 8OZ 50 PIECES,"FOOGO Green 100pcs 8oz Disposable Strong Single-Wall White Paper Coffee Cups, FSC® Certified, Fully Compostable, Takeaway, Paper Cups for Hot Drinks, Parties, Eco-Friendly",1.0816666666666677,63.62745098039222,14.438264738598455,300.0,300.0,1.38,8.99,Available (see Keepa data),1.0
B0CWVMNNFV,5053249268705,5065006752242.0,PAN AROMA CANDLE PRINTED GLASS CASHMERE & APRICOT,"Lucky Egg Official Grab the Mic – Family Karaoke Game, 8+ Year Olds, 2-10 Players - Board Game for Bad Singers with 250 Lyrics (125 Cards) for Hilarious Nights & Birthday Party, Kids Gift",6.091666666666667,420.1149425287356,48.76584389593062,1000.0,,1.08,14.99,Available (see Keepa data),2.0
B0CX5L164T,5056338356666,5056622319025.0,BRASS PADLOCK 20MM,"Pack of 3 20mm Solid Brass Padlocks with 9 Keys - Small Locker Padlocks, Solid Brass Body, Mini Luggage, Tool Box, Jewellery Box and Cupboard Padlocks",0.0416666666666664,3.561253561253539,1.2853470437017915,300.0,300.0,0.744,3.89,Available (see Keepa data),2.0
B0D4SSF2VD,5017403136354,5056610204029.0,BLACKSPUR CHIPBOARD SCREWS 125G 40MM,50 PCS Black Wood Screws (4mm x 40mm) Double Countersunk Multi Purpose Organic Woodscrews,0.398333333333334,28.657074340527625,9.57915831663328,50.0,50.0,1.008,4.99,Available (see Keepa data),3.0
B0D6WJVKZ8,5056239422088,4064666843100.0,RYSONS JAYTING PROTECTIVE FELT PADS SELF ADHESIVE ASSORTED,"Nioxin System 2 - Hair Thickening System For Natural Hair with Progressed Thinning - Biotin & Niacinamide - Shampoo, Conditioner, Serum",16.823333333333334,1210.3117505995203,64.87146529562983,400.0,400.0,1.008,31.12,Available (see Keepa data),11.0
B0D98957NC,5038673600918,5061035350190.0,MARKSMAN HACKSAW JUNIOR,JDBrands Junior Hack Saw - 150mm/6 - Cutting DIY or Profesional Tool - Finger Guard - Red Powder Coated - 32tpi Blade Included (Hacksaw w/additonal 10 Blades),0.6483333333333343,43.22222222222229,11.987673343605564,500.0,500.0,1.14,6.49,,1.0
B0DG8P89XT,615867835261,5060630696610.0,DECOR PLASTIC 20 PLATE 9 INCH,"MATANA 20 Premium White Square Plastic Dinner Plates with Gold Rim, 24cm / 9 Inch - Elegant & Reusable Party Plates for Christmas, Weddings, Birthdays, Picnic, BBQ, Parties",1.948333333333333,43.58687546607009,16.711937097927088,50.0,,4.704,13.99,Available (see Keepa data),2.0
