RowID,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,Sales,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,is_exact_ean_strict,Brand_Match,title_match,Sup_Qty,Amz_Total,RSU,Pack_Mode,Pack_Verdict,Adjusted_Profit,Final_Category,Confidence,Filter_Reason,Key_Evidence
41,26102289587.0,4820184122314.0,B0D9W1S3Y5,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",200,1.548,60.8,36.5566666666666,19.8677536231884,False,False,0.10891089108910891,1,1,1,1:1,1:1 Match,36.5566666666666,UNCERTAIN,0,-,Title analysis
42,5055706641137.0,717710483480.0,B0FGHZB8FM,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,4.296,129.0,80.58,19.5108958837772,False,False,0.20717131474103587,1,1,1,1:1,1:1 Match,80.58,UNCERTAIN,0,-,Title analysis
43,6260573000843.0,5038061143195.0,B0BGK57HPC,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",400,1.02,49.5,27.0999999999999,19.3571428571428,False,False,0.16740088105726872,1,1,1,1:1,1:1 Match,27.0999999999999,UNCERTAIN,0,-,Shared: plate
44,5012128554223.0,,B0CQP7TT72,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",50,0.876,39.99,24.63625,19.2470703125,False,False,0.10112359550561797,1,1,1,1:1,1:1 Match,24.63625,UNCERTAIN,0,-,Title analysis
45,5013174024821.0,705736243089.0,B0DL47ZJR2,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",100,1.236,50.99,30.1616666666666,19.0896624472573,False,False,0.12290502793296089,1,1,1,1:1,1:1 Match,30.1616666666666,UNCERTAIN,0,-,Title analysis
46,5052579034968.0,,B07YWB6QGR,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,50,0.804,38.77,23.1983333333333,19.0150273224043,False,False,0.1958041958041958,1,1,1,1:1,1:1 Match,23.1983333333333,UNCERTAIN,0,-,Title analysis
47,5013174012392.0,717710483480.0,B0FGHZB8FM,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,4.44,129.0,80.46,18.931764705882298,False,False,0.1320754716981132,1,1,1,1:1,1:1 Match,80.46,UNCERTAIN,0,-,Title analysis
48,8006540937594.0,4242003943359.0,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",200,14.772,381.65,241.011666666666,18.7411871435977,False,False,0.15966386554621848,8,1,1,split,SPLIT - VERIFY,241.011666666666,UNCERTAIN,0,-,Title analysis
49,8721037140904.0,723990880789.0,B07VHG2VGZ,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,50,0.852,38.77,23.1583333333333,18.3796296296296,False,False,0.19480519480519481,1,1,1,1:1,1:1 Match,23.1583333333333,UNCERTAIN,0,-,Title analysis
50,5055319528559.0,,B0CNRQBMP8,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",200,1.476,54.99,32.335,18.1657303370786,False,False,0.13023255813953488,1,1,1,1:1,1:1 Match,32.335,UNCERTAIN,0,-,Title analysis
51,5010353324291.0,717710483480.0,B0FGHZB8FM,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",50,4.704,129.0,80.24,17.9507829977628,False,False,0.08780487804878048,1,1,1,1:1,1:1 Match,80.24,UNCERTAIN,0,-,Title analysis
52,5050565833266.0,705736241986.0,B0DBHJ5Q25,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",100,1.728,58.99,35.0783333333333,17.6273031825795,False,False,0.22325581395348837,1,1,1,1:1,1:1 Match,35.0783333333333,UNCERTAIN,0,-,Title analysis
53,5030481680045.0,,B0FRFRH3SG,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",100,0.744,33.99,20.49625,17.5181623931623,False,False,0.2009132420091324,1,1,1,1:1,1:1 Match,20.49625,UNCERTAIN,0,-,Title analysis
54,8694169938483.0,,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",50,1.308,45.23,27.9879166666666,17.065802845528403,False,True,0.22564102564102564,1,1,1,1:1,1:1 Match,27.9879166666666,HIGHLY_LIKELY,80,-,"Brand: IMPERIAL; Shared: blue, imperial"
