EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,EAN_match
5.01593E+12,,B0BJTFWRK9,BLOCKS IN BLOOM,"SIENON Flower Bouquet Building Set-1064 PCS 12 Kinds of Flowers Botanical Collection, Building Blocks Flower Brick Toy Craft Project for Home Room Décor Valentines’ Day Christmas Birthday",https://www.efghousewares.co.uk/blocks-in-bloom-121741,https://www.amazon.co.uk/dp/B0BJTFWRK9,400,,,1,2.82,2.35,26.99,4.05,3.14,0.55,4.498333333,2.018,-2.018,12.40166667,427.6436782,12.108,55.13894035,0
5.0174E+12,,B09XR4583G,BLACKSPUR 5 PCE SPANNER SET OPEN END,"DURATECH Double Open End Spanner Set, Super-Thin Open Ended Wrench Flat Spanner Set for Narrow Space, Carbon Steel, Mirror-Chrome Plated, 8-Piece, Metric, 5.5 mm-27 mm, with Carry Pouch",https://www.efghousewares.co.uk/blackspur-5-pce-spanner-set-open-end,https://www.amazon.co.uk/dp/B09XR4583G,100,,,,2.004,1.67,23.99,2.99875,2.41,0.55,3.998333333,1.52575,-1.52575,12.36291667,556.8881381,9.1545,61.84035015,0
8.72104E+12,,B09YCY66QQ,OVEN DISH STONEWARE 4 ASSORTED COLOURS,Woaboy Velvet Curtains 90 Drop Olive Green Curtain for Living Room Thermal Blackout for Bedroom Luxury Eyelet Drapes Soft Window Treatment Insulated Soundproof & Room Darkening W 46 x L 90 2 Panels,https://www.efghousewares.co.uk/stoneware-oven-dish-assorted-glaze-colours-118505,https://www.amazon.co.uk/dp/B09YCY66QQ,50,Available (see Keepa data),,1,1.008,0.84,24.89,3.73,3.26,0.55,4.148333333,1.676,-1.676,12.36166667,889.3285372,10.056,59.59823222,0
8.72104E+12,5.05608E+12,B074TJP5M3,OVEN DISH STONEWARE 4 ASSORTED 90ML,"Invero® 4x Set of Mini Stoneware Rectangular Coloured Small Oven to Table Baking Dish ideal for Lasagne, Pies, Casserole, Tapas and more",https://www.efghousewares.co.uk/oven-dish-stoneware-90ml-4-assorted-120494,https://www.amazon.co.uk/dp/B074TJP5M3,300,Available (see Keepa data),Available (see Keepa data),4,1.032,0.86,24.99,3.75,3.34,0.55,4.165,1.7,-1.7,12.325,874.1134752,10.2,59.18367347,0
5.05634E+12,,B09QQTLVGS,CAST IRON PADLOCK 50MM,Magmaus® PDL40 [Never-Rust] Heavy Duty Waterproof Outdoor Padlock with 3 Keys - Stainless Steel - [High Security Protection] - Ideal Gate or Shed Lock,https://www.efghousewares.co.uk/cast-iron-padlock-50mm-118683,https://www.amazon.co.uk/dp/B09QQTLVGS,300,,,,1.2096,1.008,22.99,2.87375,2.41,0.55,3.831666667,1.36835,-1.36835,12.31658333,790.538083,8.2101,64.28838625,0
5.05544E+12,,B0F4X8WZ8B,DEKTON CABLE CUTTING PLIERS 6INC,"Sharp-tec Diagonal Cutters 160mm Chrome-Plated VDE-Certified, 1000V Insulated Pliers for Electricians, Insulated Handle DIN EN IEC 60900, 6-inch Professional Wire Cutters",https://www.efghousewares.co.uk/dekton-cable-cutting-pliers-6inc-106723,https://www.amazon.co.uk/dp/B0F4X8WZ8B,50,Available (see Keepa data),,1,3.228,2.69,25.99,3.38,2.77,0.55,4.331666667,1.878,-1.878,12.26833333,378.6522634,11.268,56.64486341,0
5.0153E+12,5.06044E+12,B012BQL0FO,RAVENNA STAINLESS STEEL CUTLERY SET 16PC,"Exzact Cutlery Set Forged Stainless Steel 16pcs - 4 x Forks, 4 x Table Knives, 4 x Table Spoons, 4 x Teaspoons Flatware/Silverware/Home - Service for 4",https://www.efghousewares.co.uk/ravenna-s/steel-cutlery-set-16pc-109841,https://www.amazon.co.uk/dp/B012BQL0FO,100,Available (see Keepa data),,1,3.024,2.52,26.99,4.05,3.14,0.55,4.498333333,2.052,-2.052,12.23166667,398.4256243,12.312,54.38310485,0
5.0563E+12,6.97508E+12,B0CGN24TL6,BLUE CANYON FIGARO BIN SLATE BLUE 5 LITRE,"Electric Space Heater, 2000W Fan Heaters For Home Energy Efficient, Slient, Thermostat, 3 Modes, 60° Oscillation, 12H Timer, Overheat & Tip-Over Protection, ECO Portable Ceramic Heater",https://www.efghousewares.co.uk/blue-canyon-figaro-bin-slate-blue-5-litre-121226,https://www.amazon.co.uk/dp/B0CGN24TL6,100,Available (see Keepa data),,1,8.364,6.97,36.12,5.42,4.97,0.55,6.02,3.582,-3.582,12.19,162.1010638,21.492,40.49833887,0
5.01348E+12,,B0D9LY2MJX,KINGFISHER PLASTIC WINE 6 GLASSES,"Set of 6 Large Plastic Wine Glasses, 550ml Unbreakable Plastic Wine Glasses Reusable, Clear Plastic Red Wine Glass Long Stemmed Picnic Wine Glass",https://www.efghousewares.co.uk/kingfisher-plastic-wine-6-glasses,https://www.amazon.co.uk/dp/B0D9LY2MJX,50,Available (see Keepa data),,1,0.912,0.76,24.99,3.75,3.58,0.55,4.165,1.728,-1.728,12.185,930.1526718,10.368,58.51140456,0
8.69741E+12,,B085PQG8WV,THL CLEANING BRUSH WITH HANDLE,"SEYMAC stock Case for iPad 9th/8th/7th Generation 10.2'', [Strong Magnetic] Auto Sleep/Wake Drop Proof Cover with [Multi-angle Stand] Pencil Holder, Card Slot for iPad 10.2 Inch 2021/2020/2019, Black",https://www.efghousewares.co.uk/thl-cleaning-brush-with-handle-112089,https://www.amazon.co.uk/dp/B085PQG8WV,200,Available (see Keepa data),,4,0.852,0.71,23.39,3.9,2.16,0.55,3.898333333,1.464,-1.464,12.17166667,966.005291,8.784,62.44548953,0
5.06023E+12,,B06ZZC83MG,Water Dispenser for dogs,"Amazon Basics Dog and Cat Feeder Dispenser for Food and Water, Small, Pack of 2, Grey",https://www.efghousewares.co.uk/water-dispenser-for-dogs-118541,https://www.amazon.co.uk/dp/B06ZZC83MG,100,,,,1.476,1.23,23.03,2.87875,2.41,0.55,3.838333333,1.41375,-1.41375,12.12291667,681.0627341,8.4825,63.16760747,0
5.02618E+12,,B07TDNYMCH,APOLLO CHROME TOILET BRUSH & HOLDER,BGL 304 Stainless Steel Toilet Brush Long Bucket Stand Round Toilet Brush with Holder Chrome,https://www.efghousewares.co.uk/apollo-chrome-toilet-brush-holder-09-02-23,https://www.amazon.co.uk/dp/B07TDNYMCH,200,,,,4.032,3.36,25.99,3.24875,2.41,0.55,4.331666667,1.91375,-1.91375,12.08958333,309.1965047,11.4825,55.81954598,0
5.05514E+12,,B084NWNJQ1,VASE GLASS CYLINDER 20X10X10CM,"Hot Water Cylinder Jacket Tank Lagging Insulation by Mangers for Immersion Heater or Boiler Systems (42"" x 18"")",https://www.efghousewares.co.uk/cylinder-vase-glass-20x10x10cm,https://www.amazon.co.uk/dp/B084NWNJQ1,50,,,1,4.776,3.98,32.99,4.29,6.59,0.55,5.498333333,3.082,-3.082,12.08166667,266.7034584,18.492,43.9466505,0
5.0129E+12,,B0D5HN7W14,CHEF AID SANTOKU KNIFE SOFT GRIP HANDLE,"MasterChef Knife Set with Block, 5 Kitchen Knives with Sharp Stainless Steel Blades (Chef, Paring, Utility, Carving, Bread) Soft Touch Easy Grip Handles & Universal Knife Holder, Earth Greys",https://www.efghousewares.co.uk/chef-aid-santoku-knife-soft-grip-handle,https://www.amazon.co.uk/dp/B0D5HN7W14,200,,,,2.808,2.34,24.49,3.06125,2.41,0.55,4.081666667,1.67225,-1.67225,12.04708333,416.8540946,10.0335,59.03021641,0
