RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
36,UNRELATED,15,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5016574137825,nan,B0DN6BWS36,2.82,99.99,65.51625,0,50,1:1,65.52,,Insufficient Evidence,True
37,UNRELATED,15,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565712875,nan,B0D62LX8W5,0.876,45.77,28.7304166666666,0,100,1:1,28.73,,Insufficient Evidence,True
38,UNRELATED,15,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565512352,nan,B0D62LX8W5,0.804,45.77,27.2816666666666,0,100,1:1,27.28,,Insufficient Evidence,True
39,UNRELATED,15,SPRAY ADHESIVE HEAVY DUTY 500ML,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,5056239432094,nan,B0FPXDNJ1T,3.36,119.97,74.475,0,200,1:1,74.47,,Insufficient Evidence,True
40,UNRELATED,15,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",11179373161,nan,B0FP2P7WNL,0.708,45.99,24.655,0,300,1:1,24.66,,Insufficient Evidence,True
41,UNRELATED,15,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778,nan,B0C7FJY9SL,0.744,42.99,24.965,0,400,1:1,24.96,,Insufficient Evidence,True
42,UNRELATED,15,TONTIKA BROOM & HANDLE MAXI OUTDOOR,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",8003653033670,nan,B01KWWYF6A,4.596,139.0,91.6683333333333,0,900,1:1,91.67,,Insufficient Evidence,True
43,UNRELATED,15,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892,nan,B0CQP7TT72,0.792,39.99,24.70625,0,50,1:1,24.71,,Insufficient Evidence,True
44,UNRELATED,15,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055441463407,609613846212,B00YA95TZI,0.48,32.99,19.2516666666666,0,200,1:1,19.25,,Insufficient Evidence,True
45,UNRELATED,15,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",11179859771,nan,B0CQP7TT72,0.804,39.99,24.69625,0,50,1:1,24.7,,Insufficient Evidence,True
