category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,manual_group,manual_pack_count_supplier,manual_pack_count_amazon,manual_size_tokens_supplier,manual_size_tokens_amazon,ip_risk
UNCERTAIN,False,1:1 Match,23.1983333333333,23.1983333333333,1901.50273224043,1.0,1.0,1.0,0.1958041958041958,50,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052579034968,-,B07YWB6QGR,0.804,38.77,,,,,,False
UNCERTAIN,False,1:1 Match,80.46,80.46,1893.17647058823,1.0,1.0,1.0,0.1320754716981132,50,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5013174012392,717710483480,B0FGHZB8FM,4.44,129.0,,,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,23.1583333333333,23.1583333333333,1837.96296296296,1.0,1.0,1.0,0.19480519480519481,50,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,8721037140904,723990880789,B07VHG2VGZ,0.852,38.77,,,,,6.5mm,False
UNCERTAIN,False,1:1 Match,80.24,80.24,1795.07829977628,1.0,1.0,1.0,0.08780487804878048,50,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5010353324291,717710483480,B0FGHZB8FM,4.704,129.0,,,,,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,35.0783333333333,35.0783333333333,1762.73031825795,1.0,1.0,1.0,0.22325581395348837,100,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",5050565833266,705736241986,B0DBHJ5Q25,1.728,58.99,,,,,,False
UNCERTAIN,False,1:1 Match,20.49625,20.49625,1751.81623931623,1.0,1.0,1.0,0.2009132420091324,100,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",5030481680045,-,B0FRFRH3SG,0.744,33.99,,,,,50mm,False
UNCERTAIN,False,BUNDLE (2x) - OK,26.6799166666666,27.9879166666666,1706.58028455284,2.0,1.0,2.0,0.22564102564102564,50,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938483,-,B07SG6C3BR,1.308,45.23,,,2.0,,26.5cm,False
UNCERTAIN,False,1:1 Match,35.635,35.635,1688.8625592417,1.0,1.0,1.0,0.13270142180094788,100,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",3838952023870,4820184121324,B09LGTWHKF,1.872,60.15,,,,,,False
UNCERTAIN,False,1:1 Match,64.51625,64.51625,1654.26282051282,1.0,1.0,1.0,0.16666666666666666,400,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",5016679520003,-,B0DTKDYJ8J,4.02,99.99,,,,,1.8l,False
UNCERTAIN,False,SPLIT (1/20) - OK,25.4813333333333,24.3983333333333,1626.55555555555,0.05,20.0,1.0,0.16666666666666666,100,PALOMA CHRISTMAS NAPKINS 3 PLY 20 PACK ASSORTED DESIGNS,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",3838952032452,48296309469,B07CT3TVNT,1.14,41.95,,20.0,,,,False
UNCERTAIN,False,1:1 Match,22.9683333333333,22.9683333333333,1584.02298850574,1.0,1.0,1.0,0.22695035460992907,50,BETTINA BATH 4 SPONGES ROUNDED,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052578011211,-,B07YWB6QGR,1.08,38.77,,,,,,False
UNCERTAIN,False,1:1 Match,19.8316666666666,19.8316666666666,1502.39898989899,1.0,1.0,1.0,0.21238938053097345,50,NORTHPOLE CURLING RIBBON 4 X 4M,Pos Display Shop 5 x A4 Portrait Leaflet Holder Wall Mountable LDS5000 Recyclable!,5033601008965,7426823912727,B07CZHJKPW,0.924,39.95,,4.0,5.0,4m,,False
UNCERTAIN,False,1:1 Match,28.105,28.105,1494.94680851063,1.0,1.0,1.0,0.18181818181818182,100,RODO WIRE BRUSH WITH SCRAPER 4 ROW,Work Boots Mens Womens Comfortable Steel Toe Cap Boots Lightweight Work Shoes Protective Puncture Proof Safety Footwear Industrial Safety Trainers with Swivel Buckle Shoelaces,5019200246458,-,B0DK1CSSN1,1.596,48.99,,,,,,False
UNCERTAIN,False,1:1 Match,18.9766666666666,18.9766666666666,1482.55208333333,1.0,1.0,1.0,0.22330097087378642,400,PREMIER COLOUR YOUR OWN CHRISTMAS KEYRING SET (6 ASSORTED DESIGNS),"Safety First Aid Group Workplace First Aid Kit (Small 1-10 Persons) Economy HSE-Compliant with Inspection Tags, Wall Bracket, Extra Plasters",5053844267714,-,B09P58TDMW,0.876,32.0,,,,,,False
UNCERTAIN,False,1:1 Match,26.1054166666666,26.1054166666666,1466.59644194756,1.0,1.0,1.0,0.0784313725490196,100,CHARGER PLATE SILVER REDBUD 33CM,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5018705345147,-,B0BPLGMW1B,1.476,42.77,,,,33cm,,False
UNCERTAIN,False,1:1 Match,110.059583333333,110.059583333333,1386.14084802686,1.0,1.0,1.0,0.18106995884773663,900,CHRISTMAS MUSICAL SNOW GLOBE CHRISTMAS SANTA,"Cordless Vacuum Cleaner, 600W 50KPA 65Mins Cordless Stick Vacuum with Touch Screen AUTO-Mode, Pet Tool &1M Hose, Wall-Charging, Fragrance Release, Powerful Vacuum for Floors/Carpets/Pet Hair UK Homes",5025301737399,-,B0FJ1RGCSP,8.868,169.99,,,,,"1m,600w",False
UNCERTAIN,False,SPLIT (1/2) - OK,24.8563333333333,24.1183333333333,1354.96254681647,0.5,2.0,1.0,0.11483253588516747,100,COK LATTE GLASS 25CL 2PK,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",8435123280763,48296309469,B07CT3TVNT,1.476,41.95,,2.0,,,,False
UNCERTAIN,False,BUNDLE (2x) - OK,22.517666666666603,23.9816666666666,1354.89642184557,2.0,1.0,2.0,0.22564102564102564,50,"IMPERIAL SOUP PLATE BLUE 9""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938490,745606660523,B07SG6C3BR,1.464,45.23,,,2.0,,26.5cm,False
