category,Pack_Analysis_Verdict,Adjusted_Profit,Adjusted_ROI,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,MATCH (1:1),161.36,20069.65174129353,1.0,1.0,1.0,0,Blue & Gold Christmas Tree Gift Bag (Extra Large),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519287147,B07SWB992S,161.36,13226.22950819672,0.804,249.9
UNCERTAIN,MATCH (1:1),161.23999999999998,17008.438818565402,1.0,1.0,1.0,0,Christmas Tree Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519287154,B07SWB992S,161.23999999999998,12032.83582089552,0.948,249.9
UNCERTAIN,MATCH (1:1),157.89999999999998,3186.037126715092,1.0,1.0,1.0,0,Red Wired Edge Ribbon (63mm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5055139080770,B07SWB992S,157.89999999999998,3373.931623931624,4.956,249.9
UNCERTAIN,MATCH (1:1),153.56999999999996,1512.706855791962,1.0,1.0,1.0,0,Tombstone Garden Stake,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5055050230483,B07SWB992S,153.56999999999996,1704.4395116537175,10.152,249.9
UNCERTAIN,MATCH (1:1),153.305,13447.80701754386,1.0,1.0,1.0,0,Decorative Duck,"VLAND Rear Lights for Mini Cooper F55 F56 F57 2014-2021 Union Jack Tail Lights Assembly with Dynamic Signal,None Fog Light, E-mark, One Pair (Smoked)",5050565479136,B0BWRK2TQW,153.305,10220.333333333334,1.14,219.99
UNCERTAIN,MATCH (1:1),144.97833333333335,9822.380307136405,1.0,1.0,1.0,0,Large Fashion Jo Jo Style Hair Bows (Assorted Designs),"VLAND Rear Lights for Mini Cooper F55 F56 F57 2014-2021 Union Jack Tail Lights Assembly with Dynamic Signal,None Fog Light, E-mark, One Pair (Smoked)",5050565246196,B0BWRK2TQW,144.97833333333335,8144.850187265918,1.476,208.99
UNCERTAIN,MATCH (1:1),137.43999999999997,9465.564738292009,1.0,1.0,1.0,0,Cream Gerbera Stem (72cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519265527,B07SWB992S,137.43999999999997,7809.090909090908,1.452,199.92
UNCERTAIN,MATCH (1:1),137.36999999999998,8943.359374999998,1.0,1.0,1.0,0,Essential Dusky Pink Ranunculus Bush,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519267651,B07SWB992S,137.36999999999998,7506.557377049178,1.536,199.92
UNCERTAIN,MATCH (1:1),136.65999999999997,5722.780569514236,1.0,1.0,1.0,0,Crystal Tealight Holder,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(Black),5056519288687,B07SXDPVZZ,136.65999999999997,5380.31496062992,2.388,199.92
UNCERTAIN,MATCH (1:1),136.56999999999996,5471.5544871794855,1.0,1.0,1.0,0,White Hydrangea Bush (22 x 17 x 9cm),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519267798,B07SWB992S,136.56999999999996,5192.775665399238,2.496,199.92
UNCERTAIN,MATCH (1:1),136.51999999999998,5341.158059467918,1.0,1.0,1.0,0,Silver Foiled Christmas Pudding Paper Napkins,WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5055995978952,B07SWB992S,136.51999999999998,5094.0298507462685,2.556,199.92
