SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
APOLLO POTATO MASHER STAINLESS STEEL FOLDING,"Potato Mashers, Joyoldelf Potato Masher Stainless Steel, Masher with Non-Slip Handle, Fruit & Vegetable Baby Food Masher",B08T1R1J3S,5026180000000,title,T2_TITLE_MATCH,medium,400,400,1.057916667,36.47988506,2.35,8.99,A,MATCH,,https://www.efghousewares.co.uk/apollo-potato-masher-s-s-folding-15-12,https://www.amazon.co.uk/dp/B08T1R1J3S,,
RCR CRYSTAL MIXOLOGY WHISKY GLASS SET ASSORTED 340ML 4 PIECES,"KANARS Whiskey Glasses Set, No-Lead Crystal Whisky Glass 320 ml for Whisky, Cocktail, Martini, Bourbon, Tequila, 4-Piece, Unique Stylish Gift Box",B07VPVS9CM,8007820000000,title,T2_TITLE_MATCH,medium,50,50,8.435,83.76365442,9.52,33.99,A,MATCH,,https://www.efghousewares.co.uk/rcr-crystal-mixology-whisky-glass-set-assorted-340ml-4-pieces-123622,https://www.amazon.co.uk/dp/B07VPVS9CM,Available (see Keepa data),1
MENS THINSULATE KNITTED GLOVE,Mens Fleece Touch Screen Gloves Thinsulate Lined Full Finger Thermal Winter Wooly Work (Black),B08P8RWR18,5020130000000,report_reconstruction,T2_TITLE_MATCH,high,900,900,0.468333333,13.89713155,2.82,7.99,A,MATCH,,https://www.efghousewares.co.uk/mens-thinsulate-knitted-glove,https://www.amazon.co.uk/dp/B08P8RWR18,Available (see Keepa data),2
ROLSON  CABEL CUTTING PLIERS VDE INSULATED 160MM,S&R VDE Insulated Diagonal Side Cutter 160mm – 1000V Rated Wire Cutting Pliers | VDE-Tested for Electrical Work,B013URC1GU,5029590000000,title,T2_TITLE_MATCH,medium,300,300,1.401666667,19.88179669,6.5,15.95,A,MATCH,,https://www.efghousewares.co.uk/rolson-cabel-cutting-pliers-vde-insulated-160mm-108575,https://www.amazon.co.uk/dp/B013URC1GU,Available (see Keepa data),1
LAV MISKET GIN GLASS 645CC PK3,6X Clear 645ml Misket Gin Balloon Glasses - Large Long Stem Bowl Shaped G&T Cocktail Drinking Copa Tonic Glass Gift Set - by LAV,B082YH5WZB,8692950000000,title,T2_TITLE_MATCH,medium,100,100,4.205,104.8628429,3.46,15,A,MATCH,,https://www.efghousewares.co.uk/lav-misket-gin-glass-645cc-pk3-112136,https://www.amazon.co.uk/dp/B082YH5WZB,,2
MOUSE GLUE TRAPS 4PC,"12 Pack Pest Trap Boards, Sticky Traps Glue Pads Multi Insects Sticky Traps Glue Pads Large Strong Sticky Trap Pad And Boards for Indoor Outdoor Home Kitchen Garden, 6 x 8.8 inch",B0F7L8VD5Q,5056240000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,4.187,268.7419769,1.008,12.99,A,MISMATCH_CHECK,"Amazon pack of 6, supplier single unit",https://www.efghousewares.co.uk/mouse-glue-traps-4pc,https://www.amazon.co.uk/dp/B0F7L8VD5Q,,1
ELBOW GREASE TOILET CLEANER FOAM LEMON FRESH 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",B0CCJS5GKB,5053250000000,title,T2_TITLE_MATCH,medium,200,200,2.093333333,380.6060606,0,8.38,A,MISMATCH_CHECK,"Amazon pack of 3, supplier single unit",https://www.efghousewares.co.uk/elbow-grease-toilet-cleaner-lemon-104099,https://www.amazon.co.uk/dp/B0CCJS5GKB,,28
BEAUFORT SQUARE FOOD CONTAINER 600ML,Beaufort 13 Litre New SQUARE FOOD & CAKE CONTAINER WITH CLEAR SOLID LID,B0046MHRMM,5014350000000,title,T2_TITLE_MATCH,medium,200,200,2.092916667,190.2651515,0.55,7.91,A,MATCH,,https://www.efghousewares.co.uk/beaufort-sq-food-container-0-6-ltr,https://www.amazon.co.uk/dp/B0046MHRMM,,
LIGHT UP CROSS SWORD,"OSDUE Light Up Saber with Sound, 2 Pack 7 Color Retractable Lightsaber for Kids, LED Light Saber Sword Toy for Boys Kids Teenagers Gift Halloween Dress Up Parties, Fashion Cosplay Toy for Adults",B0BGH6Q3WD,5037240000000,title,T2_TITLE_MATCH,medium,800,800,0.522916667,17.37264673,2.46,8.39,A,MATCH,,https://www.efghousewares.co.uk/light-up-cross-sword-120048,https://www.amazon.co.uk/dp/B0BGH6Q3WD,,
SWIFT PERMANENT MARKERS ASSORTED 3 PACK,"Shuttle Art 48 Permanent Markers, Fine Tip, Perfect on Plastic, Wood, Stone, Metal and Glass for Doodling, Colouring, Marking",B07Q214XRY,5060080000000,report_reconstruction,T2_TITLE_MATCH,high,50,50,8.36425,596.5941512,0.852,17.19,A,MATCH,,https://www.efghousewares.co.uk/swift-permanent-markers-assorted-3-pack-104158,https://www.amazon.co.uk/dp/B07Q214XRY,,
