SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
WORK OF ART ACRYLIC PAINT BLACK 120ML,"Work of Art 120ml Acrylic Paint - Black, 6722",B00PRI7N82,5013920000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,-1.233666667,-87.99334284,0.852,3.79,C,MATCH,,https://www.efghousewares.co.uk/work-of-art-acrylic-paint-black-120ml,https://www.amazon.co.uk/dp/B00PRI7N82,Available (see Keepa data),14
GORILLA GLUE GRAB WHITE 80ML TUBE,Gorilla 2044300 Heavy Duty Grab Adhesive White 80ml 1 Pack,B089QMLZ24,5704950000000,EAN,T1_EAN_EXACT,high,300,300,-1.236666667,-25.13550136,4.37,8.68,C,MATCH,,https://www.efghousewares.co.uk/gorilla-glue-grab-white-80ml-tube,https://www.amazon.co.uk/dp/B089QMLZ24,Available (see Keepa data),25
APOLLO KITCHEN SCALE 5KG,"Kitchen Scale, 11 lb Digital Food Scales with Batteries, 5 Units with Tare Function, Touch Button, Backlit LCD Display",B0CSSYM1SC,5026180000000,title,T2_TITLE_MATCH,medium,300,300,-1.241666667,-22.21228384,5.04,7.99,C,MATCH,,https://www.efghousewares.co.uk/apollo-kitchen-scale-5kg,https://www.amazon.co.uk/dp/B0CSSYM1SC,Available (see Keepa data),2
SEAL SQUARE STORAGE 4 FOOD BOX,"HOMESHOPA Plastic Food Storage Containers, 2 Pack 4 Litre Square Clear Leakproof Airtight, BPA-Free Reusable & Stackable Meal Prep Lunch Boxes, Microwave Freezer & Dishwasher Safe",B0CS6TL3YD,8696290000000,title,T2_TITLE_MATCH,medium,100,100,-1.242083333,-23.88621795,4.65,8.99,C,MATCH,,https://www.efghousewares.co.uk/seal-square-storage-4-food-box,https://www.amazon.co.uk/dp/B0CS6TL3YD,,
KEEP IT HANDY CLING FILM 30M,"Sealapack Ready to Use Cling Film, 30 Metre Roll, Clear, White",B0BQDL5NKV,5055260000000,title,T2_TITLE_MATCH,medium,200,200,-1.243333333,-89.44844125,0.84,4.1,C,MATCH,,https://www.efghousewares.co.uk/keep-it-handy-cling-film-30m,https://www.amazon.co.uk/dp/B0BQDL5NKV,Available (see Keepa data),10
WATER BOTTLE OMBRE 3 ASSORTED COLOURS 2 LITRES,"3 Pack Water Bottle BPA Free ,2L/800ML/300ML Sport Water Bottles with Straw & Brush,Motivational Time Markings, Leak-Proof, 2 Liters Gym Drinks Bottle for Adults Women, Running,Cycling-Black Blue",B0DWFFLN34,5050570000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,-1.24775,-21.09824146,5.364,9.99,C,MATCH,,https://www.efghousewares.co.uk/water-bottle-ombre-3-assorted-colours-2-litres-120190,https://www.amazon.co.uk/dp/B0DWFFLN34,,
QUEST HAND BLENDER 2 SPEED 35090,"Bonsenkitchen Hand Blender, 2 Speeds Immersion Blender Handheld, Stick Blender Electric with Stainless Steel Blade for Making Baby Food, Soups, Sauce, HB3201 (Black)",B09SH83R97,5025300000000,title,T2_TITLE_MATCH,medium,2000,,-1.248333333,-15.07648953,7.73,14.99,C,MATCH,,https://www.efghousewares.co.uk/quest-hand-blender-2-speed-35090,https://www.amazon.co.uk/dp/B09SH83R97,Available (see Keepa data),3
COUNTRY CLUB POP-UP LAUNDRY HAMPER DITSY BEES ASSORTED COLOURS,Large Washing Basket Collapsible Mesh Collapsible Washing Basket Pop up Laundry Hamper Basket with Side Pocket Laundry Hampers Mesh Laundry Baskets with Handles for Bathroom College Dorm Black,B0CHRSMS9G,5023670000000,title,T2_TITLE_MATCH,medium,1000,,-1.248333333,-42.75114155,2.37,5.99,C,MATCH,,https://www.efghousewares.co.uk/countryclub-pop-up-laundry-hamper-ditsy-bees-assorted-colours-119925,https://www.amazon.co.uk/dp/B0CHRSMS9G,Available (see Keepa data),2
SACHETS 3 IN 1 URINAL BLOCKS IN BUCKET 150S,"Jeyes JY34117 Sanilav Urinal Channel Blocks, Citrus, 3 kg",B002YE65U4,5018060000000,title,T2_TITLE_MATCH,medium,300,300,-1.251666667,-11.07669617,10.75,21.85,C,MATCH,,https://www.efghousewares.co.uk/sachets-3-in-1-urinal-blocks-in-bucket-150s,https://www.amazon.co.uk/dp/B002YE65U4,,6
ELBOW GREASE ALL PURPOSE DESCALER 3 PACK,"Elbow Grease All Purpose Descaler – Up to 100% Limescale Removal | Suitable for Kettles, Coffee Machines, Steam Irons & Shower Heads (3 Pack Liquid Sachets)",B09MZQ12S1,5053250000000,report_reconstruction,T2_TITLE_MATCH,high,300,300,-1.251666667,-83.44444444,0.95,3.79,C,MATCH,,https://www.efghousewares.co.uk/elbow-grease-all-purpose-descaler,https://www.amazon.co.uk/dp/B09MZQ12S1,,18
