RowID,ASIN,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month
913,B09HCS9QM2,5012128616778,,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stocking For Xmas Presents Special Delivery Bag,https://www.efghousewares.co.uk/giftmaker-christmas-non-woven-santa-sack-special-delivery-122875,https://www.amazon.co.uk/dp/B09HCS9QM2,1.14,6.99,1.04124999999999,69.4166666666666,100
931,B06X9K7NR7,5025364001970,5025364001970,TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,"Tidyz 200 x Extra Large Super Strong Doggy bags (4 x 50),Black",https://www.efghousewares.co.uk/tidyz-50-doggy-bags-xl-extra-strong,https://www.amazon.co.uk/dp/B06X9K7NR7,0.672,6.5,0.736666666666667,66.3663663663663,500
937,B0070U64RG,5029347009311,,EVERBUILD BITUMEN TROWEL MASTIC 1 LITRE,"Everbuild 103 Premium Trowel Mastic, Stone, 6 kg",https://www.efghousewares.co.uk/everbuild-bitumen-trowel-mastic-1-litre,https://www.amazon.co.uk/dp/B0070U64RG,9.204,22.54,5.33583333333333,64.9128142741281,50
946,B01MYBH3SU,5017676016919,5017676016964,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill for Pressure Sprayer, 5 Litre",https://www.efghousewares.co.uk/roundup-path-weedkiller-rtu-1ltr-20-free,https://www.amazon.co.uk/dp/B01MYBH3SU,6.02399999999999,21.12,3.52,63.1956912028725,50
947,B08XWB7JW9,5010232988019,9790504074621,MARIGOLD OUTDOOR GLOVES EXTRA LARGE,Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra Large),https://www.efghousewares.co.uk/marigold-outdoor-gloves-extra-large,https://www.amazon.co.uk/dp/B08XWB7JW9,2.016,7.99,1.40833333333333,63.1539611360239,200
964,B0DJDH23JW,5060357990107,5060357990107,SUPERIOR FOIL 10 CONTAINERS & LID 9X9IN,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",https://www.efghousewares.co.uk/superior-foil-10-containers-lid-9x9in,https://www.amazon.co.uk/dp/B0DJDH23JW,3.65999999999999,12.97,2.12833333333333,59.1203703703704,700
971,B073TZKMK9,5013655218435,,DOFF CONCENTRATED MULTI PURPOSE FEED 1L,2 X Doff 1L Liquid Seaweed Concentrated Multi-Purpose Feed,https://www.efghousewares.co.uk/doff-multi-purpose-feed-concentrate-1ltr-,https://www.amazon.co.uk/dp/B073TZKMK9,3.13199999999999,10.44,1.82499999999999,57.753164556962,50
1038,B08DRRKWKQ,7612720201457,5015926091990,LITTLE TREES CAR FRESHENER ORANGE JUICE,Little Trees Air Freshener Tree LTZ084 Orange Juice Fragrance For Car Home Boat Caravan - Triple Pack,https://www.efghousewares.co.uk/little-trees-car-freshener-orange-juice-116771,https://www.amazon.co.uk/dp/B08DRRKWKQ,0.936,4.98,0.61,45.8646616541353,50
1083,B09P1G3YJ5,5010303179971,5010303179995,FAIRY DUAL SPONGE SCOURER WITH CRYSTALS PK2,"Addis Fairy Originals Non Scratch General Dual Sponge Scourer with Crystals, Pack of 6, Green One Size",https://www.efghousewares.co.uk/fairy-dual-sponge-scourer-with-crystals-pk2,https://www.amazon.co.uk/dp/B09P1G3YJ5,0.9,5.99,0.491666666666667,37.8205128205128,100
1085,B0114IPMS6,5010559684793,5010559684816,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),https://www.efghousewares.co.uk/draper-spanner-set-metric-combination,https://www.amazon.co.uk/dp/B0114IPMS6,6.18,15.1,2.15333333333333,37.7777777777778,100
1095,B0CCJS5GKB,5053249277943,5053249253183,ELBOW GREASE FOAMING TOILET CLEANER EUCALYPTUS 500G,"3 x Elbow Grease Foaming Toilet Cleaner, Deep Cleaning Action, Lemon Fresh Fragrance 500g",https://www.efghousewares.co.uk/elbow-grease-foaming-toilet-cleaner-eucalyptus-500g-120001,https://www.amazon.co.uk/dp/B0CCJS5GKB,2.088,9.17,0.821666666666666,35.8806404657932,200
