idx,brand,supplier,amazon,profit,sales
2284,YALE,YALE ESSENTIALS DEADLOCK P/BRASS 64MM,"Yale British Standard 5 Lever Mortice Deadlock, High Securit",1.61833333333333,200
1423,PAN AROMA,PAN AROMA CANDLE TALL APPLE&CINN EACH,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
1422,PAN AROMA,PAN AROMA CANDLE ROUND APPLE CINNAMON EACH,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
1421,PAN AROMA,PAN AROMA C TEA-LIGHTS 16PK APP&CIN,Pan Aroma 16 Tea Lights Apple & Cinnamon,1.515,100
2097,SUPERIOR,SUPERIOR FOIL 10 CONTAINERS & LID 2 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy",1.47833333333333,700
1660,AMTECH,AMTECH PICK-UP TOOL TELE MAG 5LB,Amtech S8006 3 LED telescopic torch and magnetic pick up too,1.44,100
1804,MARIGOLD,MARIGOLD OUTDOOR GLOVES EXTRA LARGE,Marigold 2 x Extra Tough Outdoor Gloves - Single Pair (Extra,1.40833333333333,200
2147,TALA,TALA MEAT THERMOMETER 4106,"Tala Stainless Steel Meat Thermometer, Classic Meat Probe fo",1.30833333333333,50
2115,MINKY,MINKY IRONING BOARD CLIPS PK3,Minky Easy Fit Ironing board cover + Ironing Board Clips Bun,1.25833333333333,100
1467,BEAUFORT,BEAUFORT MEASURE ULTIMATE JUG 3LTR,Beaufort 3 Litre Ultimate Plastic Measuring Jug,1.25416666666666,50
1582,CLIPPER,GLAMOUR STUDIO NAIL CLIPPER SET,Manicure Set Glamour Gaze Manicure Pedicure Kit Nail Clipper,1.17166666666666,300
1610,GIFTMAKER,GIFTMAKER PENGUIN SANTA SACK,Giftmaker Collection Large Christmas Santa Sack Gift Stockin,1.15124999999999,100
1746,STATUS,STATUS UK VISITOR TRAVEL ADAPTER,"Status India to UK Power Adaptor, India to UK Travel Adapter",1.06166666666666,50
1890,STATUS,STATUS TV AERIAL LEAD 5M CABLE IN CDU,Status 15 Metre TV Aerial Cable Extension Kit | White | Exte,1.05499999999999,200
1620,MINKY,MINKY ANTIBACTERIAL 4 SPONGE SCOURERS HD,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,1.045,700
1733,GIFTMAKER,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Gift Stockin,1.04124999999999,100
2193,PYREX,PYREX AIR FRYER SQUARE DISH 20X17CM,PYREX PREPWARE â€“ Square Glass Dish 20 x 17 cm â€“ 1 L,1.03625,50
1710,PAN AROMA,PAN AROMA POTPOURRI ASSORTED 180G,Pan Aroma Set Of 4 Pot Pourri Fragrance - Berries Fluffy Tow,1.03,200
1711,PAN AROMA,PAN AROMA POTPOURRI ASSORTED,Pan Aroma Set Of 4 Pot Pourri Fragrance - Berries Fluffy Tow,1.03,200
1727,AMTECH,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",1.0175,50
1651,MINKY,MINKY CLOTH GRILL AND PAN SCOURER 2PK,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,1.015,700
1861,GIFTMAKER,GIFTMAKER CHRISTMAS BASIC SANTA SACK,Giftmaker Collection Large Christmas Santa Sack Gift Stockin,0.931249999999999,100
2207,KILNER,KILNER BOTTLE SQUARE 1LTR,"Kilner Clip Top Bottle, 1 Litre",0.910416666666666,50
2166,KILROCK,KILROCK DAMP CLEAR REFILL POUCH 1KG (2x500g),Kilrock Damp Clear Moisture Trap Refill - Pack of 5 x 500 gr,0.898749999999999,400
1718,TIDYZ,TIDYZ 50 WHITE PEDAL BIN LINERS+HANDLE 15L,Tidyz 3 Packs Of 40 White Plastic Disposable Pedal Bin Liner,0.885,50
2259,APOLLO,APOLLO WOODEN DISH STAND,"APOLLO 1684 Wooden dish drainer, Wood, 40x34x4",0.884166666666666,50
2178,ROLSON,ROLSON CLAW HAMMER FIBREGLASS 8OZ,Rolson 11201 8oz Stubby Claw Hammer,0.861666666666667,300
1873,MINKY,MINKY SUPER DIAMOND SCRUBBER,Minky Anti-Bacterial Cleaing Pad | 3 Pack | Reusable Microfi,0.845,700
2124,DRAPER,DRAPER SINK PLUNGER 135MM,Draper Drain Rod Plunger Attachment 4'' | Heavy Duty Outside,0.821666666666667,50
