,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,NetProfit,ROI %,bought_in_past_month
185,ADDIS LONG HANDLE DUSTPAN & BRUSH,"Powerful 2200W Premium Garment Steamer with 3L Water Tank, Dual Steam Settings for Rapid Wrinkle Release, Suitable for All Fabrics Including Delicates, Updated Design, Fridja f1200 Clothes Steamer Pro",5010303031057,5065018907005.0,73.895,734.542743538767,100
231,APOLLO WOOD NAIL BRUSH PK24,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5026180062084,717710483480.0,73.13,631.519861830742,50
338,ONYA DINNER SET 16 PIECES 4 MUGS 4 BOWLS 4 DINNER PLATES 4 SIDE PLATES SEIZE THE DAY POPPY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055490625818,717710483480.0,69.88,471.207012811867,50
18,DEKTON RIGHT ANGLE BRACKETS 8PCS,"LEGO 10327 Icons Dune Atreides Royal Ornithopter, Model Kit for Adults to Build, Movie-Themed Aviation Gifts for Men, Women, Him, Her, Vehicle Set with 8 Minifigures Inc. Chani & Baron Harkonnen",5055441451442,5702017583471.0,69.53,3565.64102564102,100
22,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),5012213580601,,69.50125,3116.64798206278,50
221,BAUER STRAIGHTENER BRUSH 38820 BLACK 21.04,LEGO | Marvel Iron Man Mark 3 Collectors' Edition Figure - Avengers Display Model Kit for Adults - incl. a Minifigure & Arc Reactor - Collectible Gift for Fans - 76344,5025301388218,,67.4916666666666,652.093397745571,100
3,I LOVE YOU BALLOON 40CM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5050565845627,,67.19625,5507.88934426229,50
30,SQUARE CANISTER CLASSIC 1.6L SURT VRM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",8414926510185,,65.77625,2491.52462121212,50
14,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,5414886287533,,65.675,3689.60674157303,100
6,ARTIST PAINT BRUSHES 10PC,"LEGO Ç€ Marvel Spider-Man vs. Oscorp - Interactive Toy with a Motorbike, 8 Minifigures incl. Miles Morales & Green Goblin - Collectible Super Hero Gift for 10+ Year Old Boys & Fans - 76324",5056170346795,,65.6095833333333,4720.1139088729,400
35,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5016574137825,,65.51625,2259.18103448275,50
9,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",5022822226623,889328733407.0,64.85,4323.33333333333,500
64,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",5016679520003,,64.51625,1654.26282051282,400
1388,KITCHEN KING ALUMINIUM POT GLORIOUS SET 5PC,Stainless Steel Pots and Pans Set â€“ 17pcs Cookware with Glass Lids â€“ Induction Hob Pot Set â€“ Cooking Saucepan Pots & Frying Pan Set â€“ by Nuovva,3840125120262,5060913008857.0,63.295,108.067269933413,100
103,BBQ TONGS,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",8720573453752,,62.99625,1162.29243542435,50
102,SABICHI HADEN KITCHEN DIGITAL SCALE RED 5KG,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5021961195296,,62.99625,1162.29243542435,50
5,DLUX PEGS WITH SOFT RUBBER GRIP PLASTIC LARGE 12 PIECES,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5060082728921,705736912404.0,62.165,5223.94957983193,50
