RowID,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,MLS,MLS_band,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
11,False,4894158018552,,4894158018552,,True,False,1:1 Match,41.565,41.565,3744.59459459459,1.0,1.0,1.0,0.1981981981981982,50,0,UNLIKELY,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",4894158018552.0,,B0DNSWBYMZ,0.672,69.99
12,False,5414886287533,,5414886287533,,True,False,1:1 Match,65.675,65.675,3689.60674157303,1.0,1.0,1.0,0.1935483870967742,100,8,UNLIKELY,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,5414886287533.0,,B0002HZPUG,1.476,114.99
13,False,5050565743725,,5050565743725,,True,False,1:1 Match,44.6016666666666,44.6016666666666,3655.87431693989,1.0,1.0,1.0,0.2631578947368421,100,0,UNLIKELY,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",5050565743725.0,,B0FGCSDMBW,0.804,74.99
14,False,5012904000425,659381335623,5012904000425,659381335623,True,True,1:1 Match,51.4166666666666,51.4166666666666,3646.57210401891,1.0,1.0,1.0,0.10232558139534884,50,4,UNLIKELY,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904000425.0,659381335623.0,B0FLXV5TG6,1.032,81.98
15,False,5055706641151,717710483480,5055706641151,717710483480,True,True,1:1 Match,82.42,82.42,3599.12663755458,1.0,1.0,1.0,0.09691629955947137,50,0,UNLIKELY,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641151.0,717710483480.0,B0FGHZB8FM,2.088,129.0
16,False,5012904018475,,5012904018475,,True,False,1:1 Match,54.1391666666666,54.1391666666666,3561.78728070175,1.0,1.0,1.0,0.17937219730941703,50,22,UNLIKELY,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904018475.0,,B0FLXV5TG6,1.164,81.98
17,False,5055297302240,717710483480,5055297302240,717710483480,True,True,1:1 Match,82.33,82.33,3459.24369747899,1.0,1.0,1.0,0.1278538812785388,50,5,UNLIKELY,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055297302240.0,717710483480.0,B0FGHZB8FM,2.196,129.0
18,False,5038673411309,,5038673411309,,True,False,1:1 Match,57.3254166666666,57.3254166666666,3432.65968063872,1.0,1.0,1.0,0.21052631578947367,50,53,NEEDS VERIFICATION,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",5038673411309.0,,B0FM3GQ9VQ,1.344,86.69
19,False,5030017011138,,5030017011138,,True,False,1:1 Match,90.505,90.505,3315.20146520146,1.0,1.0,1.0,0.09174311926605505,300,0,UNLIKELY,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",5030017011138.0,,B0FB36DTHD,2.616,144.99
20,False,5012213580601,,5012213580601,,True,False,1:1 Match,69.50125,69.50125,3116.64798206278,1.0,1.0,1.0,0.25301204819277107,50,10,UNLIKELY,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),5012213580601.0,,B08KYJWQPV,2.016,104.67
21,False,5013922057019,,5013922057019,,True,False,Pack math uncertain - verify manually,39.0708333333333,39.0708333333333,3100.85978835978,1.0,1.0,1.0,0.04310344827586207,100,0,UNLIKELY,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",5013922057019.0,,B0DB7DGKFK,0.852,60.34
22,False,5050565569936,,5050565569936,,True,False,BUNDLE (487x),-329.0460833333334,32.5379166666666,2781.01851851851,487.0,1.0,487.0,0.10752688172043011,100,4,UNLIKELY,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565569936.0,,B0DL47ZJR2,0.744,50.99
23,False,5900627061383,198153749706,5900627061383,198153749706,True,True,1:1 Match,258.235,258.235,2718.26315789473,1.0,1.0,1.0,0.18994413407821228,300,8,UNLIKELY,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,5900627061383.0,198153749706.0,B0DRPCJDWW,10.7399999999999,354.99
24,False,5055706641182,717710483480,5055706641182,717710483480,True,True,1:1 Match,81.64,81.64,2659.28338762215,1.0,1.0,1.0,0.13445378151260504,50,5,UNLIKELY,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641182.0,717710483480.0,B0FGHZB8FM,3.024,129.0
