EAN,EAN_OnPage,,ASIN,Title,SupplierURL,AmazonURL,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierTitle,AmazonTitle,PrepHouseFee,match
5.03141E+12,5.06106E+12,FALSE,B0F28LVPL8,Face Facts Printed Sheet Mask - Pretty Peach & Cheeky Cherry - 20ml - EXP: 01/24,https://www.clearance-king.co.uk/face-facts-printed-sheet-mask-pretty-peach-cheeky-cherry-20ml.html,https://www.amazon.co.uk/dp/B0F28LVPL8,0.25,0.208333333,18.39,15.325,2.75,2.94,3.065,0.041666667,9.635,3.023333333,6.111666667,29.336,6.44,0.398803698,,Available (see Keepa data),,1,,,,
5.39154E+12,5.06091E+12,FALSE,B0C9MYV1VG,Homewares+ Shoe Polish - Brown,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-1.html,https://www.amazon.co.uk/dp/B0C9MYV1VG,0.62,0.516666667,9.99,8.325,1.5,2.42,1.665,0.103333333,4.405,1.561666667,2.343333333,4.535483871,5.04,0.281481481,,,,2,,,,
5.06023E+12,5.01665E+12,FALSE,B0DBHQNTR4,Pets That Play - Premium Pet Bowl - 13.5cm x 5cm - 1 Pint,https://www.clearance-king.co.uk/flat-carcle-duck-6-96-ck-1.html,https://www.amazon.co.uk/dp/B0DBHQNTR4,0.62,0.516666667,8.79,7.325,1.32,3.05,1.465,0.103333333,2.955,1.361666667,1.093333333,2.116129032,5.49,0.149260523,,,Available (see Keepa data),1,,,,
5.03141E+12,5.03141E+12,TRUE,B002QX4EWY,Pretty Round Cosmetic Pads - Pack of 80,https://www.clearance-king.co.uk/pretty-round-cosmetic-pads-pack-of-80.html,https://www.amazon.co.uk/dp/B002QX4EWY,0.49,0.408333333,3.59,2.991666667,0.29,2.65,0.598333333,0.081666667,0.051666667,0.516666667,-0.965,-2.363265306,3.93,-0.322562674,300,Available (see Keepa data),Available (see Keepa data),12,,,,
5.39154E+12,5.06091E+12,FALSE,B0C9MYV1VG,Homewares+ Shoe Polish - Brown,https://www.clearance-king.co.uk/crosby-black-tin-wax-shoe-polish-50ml-1.html,https://www.amazon.co.uk/dp/B0C9MYV1VG,0.62,0.516666667,9.99,8.325,1.5,2.42,1.665,0.103333333,4.405,1.561666667,2.343333333,4.535483871,5.04,0.281481481,,,,1,,,,
,,TRUE,B07QQKL598,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,0.28,0.233333333,13.99,11.65833333,2.0985,2.8,2.331666667,0.046666667,6.759833333,2.285,3.974833333,17.035,5.6785,0.340943531,300,,,,,,,
BZCT-5GR-5,8.43702E+12,FALSE,B07GBZ2S9J,Babz Grey CAT 5E UTP Cable - 5M,https://www.clearance-king.co.uk/daewoo-tv-to-video-lead-plug-to-socket-male-to-female-2-metres-12.html,https://www.amazon.co.uk/dp/B07GBZ2S9J,1.04,0.866666667,8.25,6.875,1.2375,2.8,1.375,0.173333333,2.8375,1.201666667,1.135833333,1.310576923,5.5775,0.165212121,,,,,,,,
,,TRUE,B07QQKL598,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,0.28,0.233333333,13.99,11.65833333,2.0985,2.8,2.331666667,0.046666667,6.759833333,2.285,3.974833333,17.035,5.6785,0.340943531,300,,,,,,,
5.03141E+12,5.03141E+12,TRUE,B002QX4EWY,Pretty Round Cosmetic Pads - Pack of 80,https://www.clearance-king.co.uk/pretty-round-cosmetic-pads-pack-of-80.html,https://www.amazon.co.uk/dp/B002QX4EWY,0.49,0.408333333,3.59,2.991666667,0.29,2.65,0.598333333,0.081666667,0.051666667,0.516666667,-0.965,-2.363265306,3.93,-0.322562674,300,Available (see Keepa data),Available (see Keepa data),12,,,,
,,TRUE,B07QQKL598,,https://www.clearance-king.co.uk/2-in-1-pot-sponge-scourer-dual-purpose-scrub.html,https://www.amazon.co.uk/dp/B07QQKL598,0.28,0.233333333,13.99,,2.0985,2.8,2.331666667,0.046666667,6.759833333,2.285,3.924833333,501.0425532,5.7285,28.05456278,300,,,,2 In 1 Pot Sponge & Scourer - Dual Purpose Scrub,"MR.SIGA Heavy Duty Scouring Pads, Household Scrubber for Kitchen, Sink, Dish, 24-Pack, 3.9 x 5.9 inch (10 x 15 cm), Green",0.55,
