SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority
PLASTIC CLEAR SMALL SERVING BOWL ANGLED,"Goodluck 5 Pack Clear Plastic Serving Bowls for Party - 570ml/20oz Angled Reusable Salad Bowls for Wedding, Party, Crisps, Candy, Snacks, Salad & Fruit",T2,615867837425,,B0FPKZHXL8,,5.621666666666668,446.1640211640213,14.99,0.71,B,Strong absolute profit (>5 GBP); High ROI (446%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.23529411764705882,2,unknown,https://www.efghousewares.co.uk/plastic-clear-small-serving-bowl-angled,https://www.amazon.co.uk/dp/B0FPKZHXL8,45.00333555703804,8.244,,,1.0,YES,MEDIUM
CLASSIC STEEL SQUARE CAKE TIN 25CM,"MasterClass 25 cm Deep Cake Tin with PFOA Non Stick and Loose Bottom, 1 mm Carbon Steel, 10 Inch Square Pan",T2,5056170318235,,B000YJBFXI,,6.948666666666668,445.9991442019684,20.24,1.008,B,Strong absolute profit (>5 GBP); High ROI (446%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.15789473684210525,1,unknown,https://www.efghousewares.co.uk/classic-steel-square-cake-tin-25cm,https://www.amazon.co.uk/dp/B000YJBFXI,41.19762845849803,11.9016,,,10.0,YES,MEDIUM
DEKTON SCREWDRIVER 3PC,Lichamp 42 in 1 Magnetic Screwdriver Set with Detachable T Handle，DIY Ratchet Screwdriver Set with Storage Case Multi Precision Repair Tool Kit for Furniture Computer Cars Bicycle and DIY Grey,T2,5055441407531,,B0FQJMSM76,,10.695000000000002,445.625,22.89,1.85,B,Strong absolute profit (>5 GBP); High ROI (446%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.045454545454545456,1,unknown,https://www.efghousewares.co.uk/dekton-screwdriver-3pc,https://www.amazon.co.uk/dp/B0FQJMSM76,56.06815203145479,10.056,,,1.0,YES,MEDIUM
SECURPLUMB SNAP ON PIPE CLIP 15MM,15mm Snap On Pipe Clip White Plastic Pipe Support Bracket for Secure Fixing of 15mm Pipes Pack of 50 for Plumbing Use,T2,5019923196887,,B0G4NLTXBT,,5.4295833333333325,445.0478142076501,12.79,0.67,B,Strong absolute profit (>5 GBP); High ROI (445%); Price in FBA sweet spot; Likely valid T2 match,HIGH,LIKELY_VALID,0.3333333333333333,1,unknown,https://www.efghousewares.co.uk/securplumb-snap-on-pipe-clip-15mm,https://www.amazon.co.uk/dp/B0G4NLTXBT,50.94214229867083,6.2745,,,,NO,MEDIUM
MAGNETIC MEMO HOLDER,Rysons Magnetic Memo Holder,T1,5056239423788,5056239423788.0,B0CJ9J2167,,9.015249999999998,444.9777887462981,18.99,1.476,B,Strong absolute profit (>5 GBP); High ROI (445%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.75,1,unknown,https://www.efghousewares.co.uk/magnetic-memo-holder,https://www.amazon.co.uk/dp/B0CJ9J2167,56.96840442338071,8.1717,,,2.0,NO,HIGH
BRIGHT & HOMELY FOIL FLAN DISHES LARGE 215MM X 26MM X 26MM 6 PIECES,"12 x 29cm 12"" Aluminium Foil Round Pie Flan Quiche Dish Tray Container BBQ 29x29x4cm Airfryer Oven",T1,5050796012706,7554133632414.0,B09MTPMW1D,,5.196666666666667,444.1595441595442,14.24,0.62,B,Strong absolute profit (>5 GBP); High ROI (444%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.125,1,unknown,https://www.efghousewares.co.uk/bright-homely-foil-flan-dishes-large-215mm-x-26mm-x-26mm-6-pieces-124151,https://www.amazon.co.uk/dp/B09MTPMW1D,43.79213483146068,8.004,,,3.0,NO,HIGH
PRIMA SHOE RACK 21PR STACKABLE WHITE,"Remington RX7 Electric Head Shaver for Bald Men (Cordless, 60-Min Usage, USB, 5 Cutting Heads Skin Close Results (0.2mm), Turbo, Wet & Dry, Easy Clean, Waterproof, Pop-up Trimmer, Travel Pouch) XR1600",T1,5038673411032,5038061144048.0,B0BGJ6BKW8,,28.03333333333334,443.565400843882,55.0,5.77,B,"Strong absolute profit (>5 GBP); High ROI (444%); Higher price point, possible demand; EAN-confirmed match",HIGH,VERIFIED,0.0,14,unknown,https://www.efghousewares.co.uk/prima-shoe-rack-21pr-stackable-white,https://www.amazon.co.uk/dp/B0BGJ6BKW8,61.16363636363638,21.36,,,3.0,NO,HIGH
PPS PLASTIC 2 TABLECLOTHS LIGHT BLUE,"QIKSION 2 Pack Light Blue Plastic Tablecloth Disposable Circle Table Covers Sky Blue Table Cloths for Parties Bridal Shower Birthday Wedding, Fits 6 Foot Round Tables (84 Inch)",T2,50304811943101,,B0D3DYVLJ7,,5.188333333333334,443.4472934472936,12.43,0.62,B,Strong absolute profit (>5 GBP); High ROI (443%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.16666666666666666,1,unknown,https://www.efghousewares.co.uk/pps-plastic-2-tablecloths-light-blue,https://www.amazon.co.uk/dp/B0D3DYVLJ7,50.088495575221245,6.204,,,4.0,YES,MEDIUM
INCENSE STICKS 25CM ASSORTED d000,"Hem assorted scents, unique combination incense sticks (20 stick x 15 Pack,300 Sticks Total)",T2,8719202543773,,B07FKVTFTF,,4.384583333333333,442.88720538720526,10.99,0.44,B,Moderate profit (>2 GBP); High ROI (443%); Price in FBA sweet spot; Match needs validation,MEDIUM,VALIDATION_REQUIRED,0.25,1,unknown,https://www.efghousewares.co.uk/incense-sticks-25cm-asstd,https://www.amazon.co.uk/dp/B07FKVTFTF,47.875341219290256,5.7285,,,,YES,LOW
DUNLOP VALVE ADAPTERS 3PC,Dunlop AV Valve Caps Aluminium Silver 5 Pieces,T1,8711252102252,8711252058269.0,B07MZYGQZX,,5.661666666666666,442.3177083333333,13.49,0.73,B,Strong absolute profit (>5 GBP); High ROI (442%); Price in FBA sweet spot; EAN-confirmed match,HIGH,VERIFIED,0.25,1,unknown,https://www.efghousewares.co.uk/dunlop-valve-adapters-3pc-110953,https://www.amazon.co.uk/dp/B07MZYGQZX,50.36323202372128,6.696,,,3.0,NO,HIGH
