SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority,price_ratio
AUTO EXTREME CAR VENT AIR FRESHENER,Car Air Freshener for Men with Vent Clip | Strong Perfume Automotive Air Freshener | Odour Eliminating Technology with Vent Clip | Car Air Fresheners by Perfa,T2,5055319514408,,B0BZQ9D3SS,900.0,5.233250000000002,335.8953786906291,12.99,1.008,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.25,2,unknown,https://www.efghousewares.co.uk/auto-extreme-car-vent-air-freshener-119356,https://www.amazon.co.uk/dp/B0BZQ9D3SS,48.34411085450348,6.7101,,,,YES,HIGH,12.886904761904763
PAN AROMA AIR FRESHENER DRY SPRAY MIXED BERRIES 250ML,"SOL 12pk Gel Air Fresheners - Pacific Surf & Fresh Berries Scents, Odour Eliminator Room Fresheners, Bathroom Air Fresheners, Toilet Deodorisers, Long-Lasting Room Fragrance for Home & Office",T1,5053249241135,5060984592309.0,B0BSFN7BK9,100.0,5.2319166666666685,258.238729845344,14.99,1.476,A,Proven demand with positive profit,HIGH,VERIFIED,0.0952380952380952,3,unknown,https://www.efghousewares.co.uk/pan-aroma-trigger-spray-wild-berries-250-ml-111148,https://www.amazon.co.uk/dp/B0BSFN7BK9,41.883255503669126,8.711699999999999,,,1.0,NO,HIGH,10.155826558265582
MAXIFRESH GLASS AIRTIGHT FOOD STORAGE CONTAINER ROUND  930ML,"Innoteck 4-Piece Round Glass Food Storage Container Set with Snap-Lock Airtight Lids – Watertight, Heat & Cold Resistant, Microwave, Oven, Freezer & Dishwasher Safe",T1,742288760411,5060880793978.0,B0CPYNMT81,50.0,5.223333333333335,183.27485380116968,18.94,2.3,A,Proven demand with positive profit,HIGH,VERIFIED,0.3,2,unknown,https://www.efghousewares.co.uk/maxifresh-glass-airtight-food-storage-container-round-930ml-114888,https://www.amazon.co.uk/dp/B0CPYNMT81,33.09398099260824,12.672,,,3.0,NO,HIGH,8.234782608695653
WILD BLOOM TWIN WIRO A4,"RETTACY A4 Lined Notebook College Ruled/Thick Journal - Extra Large Softcover Composition Notebooks with 2 Free Sticky Notes 320 Pages,Faux Leather, Inner Pocket 21.5 x 27.9cm - Green",T2,5012128616990,,B0B1ZVB1H8,200.0,5.222250000000002,141.3711423930699,15.99,3.144,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0416666666666666,1,unknown,https://www.efghousewares.co.uk/wild-bloom-twin-wiro-a4-119056,https://www.amazon.co.uk/dp/B0B1ZVB1H8,39.19136960600376,9.7233,,,,YES,HIGH,5.08587786259542
PRIMA STAINLESS STEEL CHEESE KNIFE,BOSKA Cheese Knives Copenhagen - 4 Cheese Knives - Small Cutlery - for All Types of Cheese - Butter Knife - Stainless Steel - Silver - Dishwasher Safe,T1,5038673131634,8713638034355.0,B06WWQXHMS,900.0,5.217000000000002,334.852374839538,12.99,1.008,A,Proven demand with positive profit,HIGH,VERIFIED,0.25,1,unknown,https://www.efghousewares.co.uk/prima-s-s-cheese-knife,https://www.amazon.co.uk/dp/B06WWQXHMS,48.19399538106237,6.7296,,,1.0,NO,HIGH,12.886904761904763
VFM EMULSION MATT  PAINT WHITE 5L,Dulux Walls & Ceilings Matt Emulsion Paint - Pure Brilliant White - 5L,T1,5023608420693,5010212427750.0,B00JGSHTEC,200.0,5.203333333333337,97.25856697819322,22.96,4.8,A,Proven demand with positive profit,HIGH,VERIFIED,0.5,1,unknown,https://www.efghousewares.co.uk/vfm-emulsion-matt-paint-white-5l,https://www.amazon.co.uk/dp/B00JGSHTEC,27.195121951219527,16.715999999999998,,,16.0,NO,HIGH,4.783333333333334
ROYAL CUISINE KITCHEN ROLL HOLDER BLACK,Black Stainless Steel Kitchen Roll Holder and Mug Tree Set Paper Towel Holder Kitchen Towel Holder & Cup Holder with 6 Hooks Weighted Anti-Slip Base Stylish Mug Holder Stand,T1,5060091192683,5060091195790.0,B09C2JMPN2,50.0,5.198333333333333,138.99286987522282,19.99,3.19,A,Proven demand with positive profit,HIGH,VERIFIED,0.2222222222222222,1,unknown,https://www.efghousewares.co.uk/royal-cuisine-kitchen-roll-holder-black-1-8,https://www.amazon.co.uk/dp/B09C2JMPN2,31.205602801400705,13.752,,,2.0,NO,HIGH,6.266457680250784
PIZZA PLAY SET,"GAGAKU Wooden Pizza Toys for Kids 27Pcs Wood Cooking Toy Cutting Play Food Set for Toddlers Pretend Play Kitchen Accessories for Children Aged 3-8, for Boys and Girls",T2,5056683914788,,B0DSZZ91XD,200.0,5.184166666666668,362.52913752913753,12.74,0.88,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0952380952380952,1,unknown,https://www.efghousewares.co.uk/pizza-play-set-118322,https://www.amazon.co.uk/dp/B0DSZZ91XD,48.83045525902669,6.519,,,,YES,HIGH,14.477272727272727
DURANE STAINLESS STEEL SIEVE 24X43.5CM,24cm Fine Mesh Sieve – Premium 304 Stainless Steel (18/8) – Large Strainer/Sifter for The Kitchen,T1,5055490652357,5060631560088.0,B08N59T7SG,50.0,5.181666666666665,336.47186147186136,16.97,0.99,A,Proven demand with positive profit,HIGH,VERIFIED,0.2307692307692307,1,unknown,https://www.efghousewares.co.uk/durane-stainless-steel-sieve-24x43-5cm-107361,https://www.amazon.co.uk/dp/B08N59T7SG,36.6411314083677,10.752,,,1.0,NO,HIGH,17.141414141414142
FESTIVE MAGIC RIBBON MESH SEQUIN 63MM X 2.7M,"Christmas Tree Ribbon, 26cm X 10 Yards Mesh Ribbon Christmas, Metallic Foil Mesh Fabric for Xmas Trees, Garlands, Weddings and Winter Parties",T2,4894158146712,,B0FGXKTF76,200.0,5.181250000000001,321.8167701863355,12.99,1.06,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.1111111111111111,1,unknown,https://www.efghousewares.co.uk/festive-magic-ribbon-mesh-sequin-63mm-x-2-7m-123114,https://www.amazon.co.uk/dp/B0FGXKTF76,47.86374133949192,6.7725,,,,YES,HIGH,12.254716981132075
