,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,NetProfit,ROI,supplier_pack,amazon_pack,pack_ratio,adjusted_profit,title_similarity,brand_match,verdict,confidence,reason
25,6923456804005.0,,B09WDKDVZC,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",35.0733333333333,2637.09273182957,1,1,1.0,35.0733333333333,0.058823529411764705,False,OTHER,30,Insufficient match evidence
26,8711252476247.0,,B0FHK2CM5W,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",27.8683333333333,2444.59064327485,1,1,1.0,27.8683333333333,0.19889502762430938,False,OTHER,30,Insufficient match evidence
27,5056170355988.0,,B0D25HS86F,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",24.86625,2368.21428571428,1,1,1.0,24.86625,0.1511111111111111,False,OTHER,30,Insufficient match evidence
28,6923456812901.0,198715902921.0,B0DK877SSC,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,26.1283333333333,2353.9039039039,1,1,1.0,26.1283333333333,0.1574074074074074,False,OTHER,30,Insufficient match evidence
29,5016574137825.0,,B0DN6BWS36,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",65.51625,2259.18103448275,5,2250,450.0,-1200.66375,0.19607843137254902,False,OTHER,30,Insufficient match evidence
30,5050565712875.0,,B0D62LX8W5,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,28.7304166666666,2244.56380208333,1,1,1.0,28.7304166666666,0.14213197969543148,False,OTHER,30,Insufficient match evidence
31,5050565512352.0,,B0D62LX8W5,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,27.2816666666666,2236.20218579234,1,1,1.0,27.2816666666666,0.13043478260869565,False,OTHER,30,Insufficient match evidence
32,5038673190075.0,8700216280167.0,B0CM3SM41B,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",42.8916666666666,2177.24196277495,1,1,1.0,42.8916666666666,0.13953488372093023,False,OTHER,30,Insufficient match evidence
33,11179373161.0,,B0FP2P7WNL,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",24.655,2162.71929824561,1,1,1.0,24.655,0.18518518518518517,False,OTHER,30,Insufficient match evidence
34,5050796011778.0,,B0C7FJY9SL,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",24.965,2133.76068376068,4,1,0.25,25.523,0.21487603305785125,False,OTHER,30,Insufficient match evidence
35,5019923202892.0,,B0CQP7TT72,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",24.70625,2041.8388429752,1,1,1.0,24.70625,0.1958762886597938,False,OTHER,30,Insufficient match evidence
36,5055441463407.0,609613846212.0,B00YA95TZI,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,19.2516666666666,2026.49122807017,1,1,1.0,19.2516666666666,0.2,False,OTHER,30,Insufficient match evidence
37,11179859771.0,,B0CQP7TT72,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",24.69625,2024.28278688524,1,1,1.0,24.69625,0.22580645161290322,False,OTHER,30,Insufficient match evidence
38,5052578022309.0,,B0BPLGMW1B,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,25.1916666666666,1999.33862433862,1,1,1.0,25.1916666666666,0.18064516129032257,False,OTHER,30,Insufficient match evidence
39,26102289587.0,4820184122314.0,B0D9W1S3Y5,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",36.5566666666666,1986.77536231884,1,1,1.0,36.5566666666666,0.10891089108910891,False,OTHER,30,Insufficient match evidence
40,5055706641137.0,717710483480.0,B0FGHZB8FM,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",80.58,1951.08958837772,1,1,1.0,80.58,0.20717131474103587,False,OTHER,30,Insufficient match evidence
41,6260573000843.0,5038061143195.0,B0BGK57HPC,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",27.0999999999999,1935.71428571428,1,1,1.0,27.0999999999999,0.16740088105726872,False,OTHER,30,Insufficient match evidence
42,5012128554223.0,,B0CQP7TT72,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",24.63625,1924.70703125,1,1,1.0,24.63625,0.10112359550561797,False,OTHER,30,Insufficient match evidence
43,5013174024821.0,705736243089.0,B0DL47ZJR2,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",30.1616666666666,1908.96624472573,1,487,487.0,-570.5343333333334,0.12290502793296089,False,OTHER,30,Insufficient match evidence
44,5052579034968.0,,B07YWB6QGR,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,23.1983333333333,1901.50273224043,1,1,1.0,23.1983333333333,0.1958041958041958,False,OTHER,30,Insufficient match evidence
45,5013174012392.0,717710483480.0,B0FGHZB8FM,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",80.46,1893.17647058823,1,1,1.0,80.46,0.1320754716981132,False,OTHER,30,Insufficient match evidence
46,8006540937594.0,4242003943359.0,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",241.011666666666,1874.11871435977,8,1,0.125,253.937166666666,0.15966386554621848,False,OTHER,30,Insufficient match evidence
47,8721037140904.0,723990880789.0,B07VHG2VGZ,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,23.1583333333333,1837.96296296296,1,1,1.0,23.1583333333333,0.19480519480519481,False,OTHER,30,Insufficient match evidence
48,5010353324291.0,717710483480.0,B0FGHZB8FM,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",80.24,1795.07829977628,1,1,1.0,80.24,0.08780487804878048,False,OTHER,30,Insufficient match evidence
49,5050565833266.0,705736241986.0,B0DBHJ5Q25,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",35.0783333333333,1762.73031825795,1,952,952.0,-1608.2496666666666,0.22325581395348837,False,OTHER,30,Insufficient match evidence
50,5030481680045.0,,B0FRFRH3SG,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",20.49625,1751.81623931623,1,1,1.0,20.49625,0.2009132420091324,False,OTHER,30,Insufficient match evidence
51,8694169938483.0,,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",27.9879166666666,1706.58028455284,1,2,2.0,26.6799166666666,0.22564102564102564,False,OTHER,30,Insufficient match evidence
52,3838952023870.0,4820184121324.0,B09LGTWHKF,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",35.635,1688.8625592417,1,1,1.0,35.635,0.13270142180094788,False,OTHER,30,Insufficient match evidence
53,5414886342003.0,5054061498677.0,B0BKL45BG4,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",32.2366666666666,1678.99305555555,1,1,1.0,32.2366666666666,0.15315315315315314,False,OTHER,30,Insufficient match evidence
