RowID,bucket,MLS,MLS_band,title_match,sales,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Supplier EAN,Amazon EAN,pack_supplier_count,pack_amazon_count,pack_supplier_evidence,pack_amazon_evidence,Qty_Ratio,Adjusted_Profit_baseline,NetProfit,NetProfit_num,ROI,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,ip_risk
23,OTHER,14,UNLIKELY_OTHER,0.1958762886597938,50.0,False,5019923202892,,5019923202892,,True,False,5019923202892,-,5.0,,5x60mm,,,,24.70625,24.70625,2041.8388429752,B0CQP7TT72,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",0.792,39.99,False
24,OTHER,14,UNLIKELY_OTHER,0.2,200.0,False,5055441463407,609613846212,5055441463407,609613846212,True,True,5055441463407,609613846212,,,,,,,19.2516666666666,19.2516666666666,2026.49122807017,B00YA95TZI,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,0.48,32.99,False
25,OTHER,13,UNLIKELY_OTHER,0.18064516129032257,100.0,False,5052578022309,,5052578022309,,True,False,5052578022309,-,,,,,,,25.1916666666666,25.1916666666666,1999.33862433862,B0BPLGMW1B,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,0.852,42.77,False
26,OTHER,8,UNLIKELY_OTHER,0.10891089108910891,200.0,False,26102289587,4820184122314,026102289587,4820184122314,True,True,026102289587,4820184122314,,,,,,,36.5566666666666,36.5566666666666,1986.77536231884,B0D9W1S3Y5,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",1.548,60.8,False
27,OTHER,15,UNLIKELY_OTHER,0.20717131474103587,50.0,False,5055706641137,717710483480,5055706641137,717710483480,True,True,5055706641137,717710483480,,,,,,,80.58,80.58,1951.08958837772,B0FGHZB8FM,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.296,129.0,False
28,OTHER,13,UNLIKELY_OTHER,0.16740088105726872,400.0,False,6260573000843,5038061143195,6260573000843,5038061143195,True,True,6260573000843,5038061143195,,,,,,,27.0999999999999,27.0999999999999,1935.71428571428,B0BGK57HPC,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",1.02,49.5,False
29,OTHER,7,UNLIKELY_OTHER,0.10112359550561797,50.0,False,5012128554223,,5012128554223,,True,False,5012128554223,-,,,,,,,24.63625,24.63625,1924.70703125,B0CQP7TT72,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",0.876,39.99,False
30,OTHER,9,UNLIKELY_OTHER,0.12290502793296089,100.0,False,5013174024821,705736243089,5013174024821,705736243089,True,True,5013174024821,705736243089,,487.0,,487 pcs,,,30.1616666666666,30.1616666666666,1908.96624472573,B0DL47ZJR2,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",1.236,50.99,False
31,OTHER,14,UNLIKELY_OTHER,0.1958041958041958,50.0,False,5052579034968,,5052579034968,,False,False,-,-,,,,,,,23.1983333333333,23.1983333333333,1901.50273224043,B07YWB6QGR,BETTINA SCOURER 6 MIXED SCOURERS,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,0.804,38.77,False
32,OTHER,9,UNLIKELY_OTHER,0.1320754716981132,50.0,False,5013174012392,717710483480,5013174012392,717710483480,True,True,5013174012392,717710483480,,,,,,,80.46,80.46,1893.17647058823,B0FGHZB8FM,WET FLOOR SIGNS ABBEY,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.44,129.0,False
33,OTHER,11,UNLIKELY_OTHER,0.15966386554621848,200.0,False,8006540937594,4242003943359,8006540937594,4242003943359,True,True,8006540937594,4242003943359,,,,,,,241.011666666666,241.011666666666,1874.11871435977,B0BXLRLC9T,FAIRY WASHING UP LIQUID MAX POWER ORIGINAL 440ML PK8,"SIEMENS EQ6 plus S300, Fully Automatic Bean to Cup Espresso Coffee Machine with Cappuccinatore milk system, 11 beverages, Ceramic Grinder, Large Touchscreen Display, TE653M11GB, Titanium",14.772,381.65,False
34,OTHER,14,UNLIKELY_OTHER,0.19480519480519481,50.0,False,8721037140904,723990880789,8721037140904,723990880789,True,True,8721037140904,723990880789,,,,,,,23.1583333333333,23.1583333333333,1837.96296296296,B07VHG2VGZ,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,0.852,38.77,False
35,OTHER,6,UNLIKELY_OTHER,0.08780487804878048,50.0,False,5010353324291,717710483480,5010353324291,717710483480,True,True,5010353324291,717710483480,,,,,,,80.24,80.24,1795.07829977628,B0FGHZB8FM,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",4.704,129.0,False
36,OTHER,16,UNLIKELY_OTHER,0.22325581395348837,100.0,False,5050565833266,705736241986,5050565833266,705736241986,True,True,5050565833266,705736241986,,,,,,,35.0783333333333,35.0783333333333,1762.73031825795,B0DBHJ5Q25,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",1.728,58.99,False
37,OTHER,14,UNLIKELY_OTHER,0.2009132420091324,100.0,False,5030481680045,,5030481680045,,True,False,5030481680045,-,,,,,,,20.49625,20.49625,1751.81623931623,B0FRFRH3SG,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",0.744,33.99,False
38,OTHER,24,UNLIKELY_OTHER,0.22564102564102564,50.0,False,8694169938483,,8694169938483,,True,False,8694169938483,-,,2.0,,set of 2,,,27.9879166666666,27.9879166666666,1706.58028455284,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",1.308,45.23,False
39,OTHER,9,UNLIKELY_OTHER,0.13270142180094788,100.0,False,3838952023870,4820184121324,3838952023870,4820184121324,True,True,3838952023870,4820184121324,40.0,,40x40cm,,,,35.635,35.635,1688.8625592417,B09LGTWHKF,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",1.872,60.15,False
40,OTHER,12,UNLIKELY_OTHER,0.15315315315315314,100.0,False,5414886342003,5054061498677,5414886342003,5054061498677,True,True,5414886342003,5054061498677,,,,,,,32.2366666666666,32.2366666666666,1678.99305555555,B0BKL45BG4,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",1.644,60.92,False
41,OTHER,12,UNLIKELY_OTHER,0.16666666666666666,400.0,False,5016679520003,,5016679520003,,True,False,5016679520003,-,,,,,,,64.51625,64.51625,1654.26282051282,B0DTKDYJ8J,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",4.02,99.99,False
42,OTHER,12,UNLIKELY_OTHER,0.16666666666666666,100.0,False,3838952032452,48296309469,3838952032452,048296309469,True,True,3838952032452,048296309469,20.0,,20 pack,,,,24.3983333333333,24.3983333333333,1626.55555555555,B07CT3TVNT,PALOMA CHRISTMAS NAPKINS 3 PLY 20 PACK ASSORTED DESIGNS,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",1.14,41.95,False
43,OTHER,16,UNLIKELY_OTHER,0.22695035460992907,50.0,False,5052578011211,,5052578011211,,True,False,5052578011211,-,,,,,,,22.9683333333333,22.9683333333333,1584.02298850574,B07YWB6QGR,BETTINA BATH 4 SPONGES ROUNDED,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,1.08,38.77,False
44,OTHER,15,UNLIKELY_OTHER,0.21238938053097345,50.0,False,5033601008965,7426823912727,5033601008965,7426823912727,True,True,5033601008965,7426823912727,4.0,,4 x 4m,,,,19.8316666666666,19.8316666666666,1502.39898989899,B07CZHJKPW,NORTHPOLE CURLING RIBBON 4 X 4M,Pos Display Shop 5 x A4 Portrait Leaflet Holder Wall Mountable LDS5000 Recyclable!,0.924,39.95,False
45,OTHER,13,UNLIKELY_OTHER,0.18181818181818182,100.0,False,5019200246458,,5019200246458,,True,False,5019200246458,-,,,,,,,28.105,28.105,1494.94680851063,B0DK1CSSN1,RODO WIRE BRUSH WITH SCRAPER 4 ROW,Work Boots Mens Womens Comfortable Steel Toe Cap Boots Lightweight Work Shoes Protective Puncture Proof Safety Footwear Industrial Safety Trainers with Swivel Buckle Shoelaces,1.596,48.99,False
46,OTHER,16,UNLIKELY_OTHER,0.22330097087378642,400.0,False,5053844267714,,5053844267714,,True,False,5053844267714,-,,,,,,,18.9766666666666,18.9766666666666,1482.55208333333,B09P58TDMW,PREMIER COLOUR YOUR OWN CHRISTMAS KEYRING SET (6 ASSORTED DESIGNS),"Safety First Aid Group Workplace First Aid Kit (Small 1-10 Persons) Economy HSE-Compliant with Inspection Tags, Wall Bracket, Extra Plasters",0.876,32.0,False
