RowID,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,NetProfit,Adjusted_Profit,ROI,sales,title_match,is_exact_ean_strict,Brand_Match,RSU,Pack_Verdict,Category,SubCategory,Filter_Reason
15,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641151,717710483480,B0FGHZB8FM,82.42,82.42,0.359912663755458,50,0.09691629955947137,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
16,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904018475,nan,B0FLXV5TG6,54.1391666666666,54.1391666666666,0.35617872807017503,50,0.17937219730941703,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
17,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055297302240,717710483480,B0FGHZB8FM,82.33,82.33,0.345924369747899,50,0.1278538812785388,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
18,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",5030017011138,nan,B0FB36DTHD,90.505,90.505,0.331520146520146,300,0.09174311926605505,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
19,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),5012213580601,nan,B08KYJWQPV,69.50125,69.50125,0.311664798206278,50,0.25301204819277107,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
20,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",5013922057019,nan,B0DB7DGKFK,39.0708333333333,39.0708333333333,0.310085978835978,100,0.04310344827586207,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
21,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",5038673411309,nan,B0FM3GQ9VQ,50.4016666666666,50.4016666666666,0.301806387225548,50,0.21052631578947367,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
22,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5050565569936,nan,B0DL47ZJR2,32.5379166666666,32.5379166666666,0.278101851851851,100,0.10752688172043011,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
23,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,5900627061383,198153749706,B0DRPCJDWW,258.235,258.235,0.27182631578947297,300,0.18994413407821228,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
24,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641182,717710483480,B0FGHZB8FM,81.64,81.64,0.265928338762215,50,0.13445378151260504,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
25,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",5060082728884,653391672419,B0734R66B4,33.315,33.315,0.26440476190476103,100,0.11299435028248588,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
26,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",6923456804005,nan,B09WDKDVZC,35.0733333333333,35.0733333333333,0.263709273182957,100,0.058823529411764705,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
27,SQUARE CANISTER CLASSIC 1.6L SURT VRM,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",8414926510185,nan,B0DN6BWS36,65.77625,65.77625,0.249152462121212,50,0.1320754716981132,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
