EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,RowID,EAN_digits,EAN_OnPage_digits,sales,title_match,is_exact_ean,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,is_exact_ean_strict,Sup_Qty,Amz_Qty,Qty_Ratio,has_dimension_pattern_sup,has_dimension_pattern_amz,Adjusted_Profit,category,Pack_Verdict,MLS,MLS_band,IP_Risk,Capacity_Variance
5013922057019,nan,B0DB7DGKFK,PARTY CRAZY BALLOONS ASSORTED 20,"KODAK 10.1 Inch WiFi Digital Picture Frame with 32GB Storage, Electronic Smart Digital Photo Frame 1280x800 IPS Touch Screen, Auto-Rotate, Share Moments Instantly Gifts for Women Mothers Day Christmas",https://www.efghousewares.co.uk/party-crazy-balloons-asstd-20,https://www.amazon.co.uk/dp/B0DB7DGKFK,100,,,,0.852,0.71,60.34,7.5425,2.41,0.55,10.0566666666666,2.2425,39.6208333333333,-2.2425,39.0708333333333,3100.85978835978,13.455,77.7013589658601,21,5013922057019,,100,0.04310344827586207,False,5013922057019,,True,False,False,1.0,1.0,1.0,False,True,39.0708333333333,UNCERTAIN,1:1 Match,0.0,UNLIKELY,False,
5050565569936,nan,B0DL47ZJR2,PAPER EASTER 10 PLATES 7 INCH,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",https://www.efghousewares.co.uk/paper-easter-10-plates-7-inch,https://www.amazon.co.uk/dp/B0DL47ZJR2,100,,,,0.744,0.62,50.99,6.37375,2.41,0.55,8.49833333333333,1.99075,33.0879166666666,-1.99075,32.5379166666666,2781.01851851851,11.9445,76.5748185918807,22,5050565569936,,100,0.10752688172043011,False,5050565569936,,True,False,False,1.0,487.0,487.0,True,False,-329.0460833333334,UNCERTAIN,1:1 Match (dimension pattern detected),5.376344086021505,UNLIKELY,False,
5900627061383,198153749706,B0DRPCJDWW,AIRWICK CANDLE VANILLA & BROWN SUGAR 105G PK6,Lenovo Idea Tab Pro Android Tablet | 12.7 inch Full HD Display | MediaTek Dimensity 8300 | 128GB | Wi-Fi 6 | 8GB RAM | Luna Grey + Pen,https://www.efghousewares.co.uk/airwick-candle-vanilla-brown-sugar-105g-pk6-110640,https://www.amazon.co.uk/dp/B0DRPCJDWW,300,Available (see Keepa data),Available (see Keepa data),15.0,10.7399999999999,8.95,354.99,24.85,3.24,0.55,59.1649999999999,7.518,258.785,-7.518,258.235,2718.26315789473,45.108,87.2931631876954,23,5900627061383,198153749706,300,0.18994413407821228,False,5900627061383,198153749706,True,True,False,1.0,1.0,1.0,True,True,258.235,UNCERTAIN,1:1 Match,9.497206703910614,UNLIKELY,False,
5055706641182,717710483480,B0FGHZB8FM,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/prokleen-extendable-chenille-floor-duster,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,3.024,2.52,129.0,19.35,3.44,0.55,21.5,5.172,82.19,-5.172,81.64,2659.28338762215,31.032,75.9441860465116,24,5055706641182,717710483480,50,0.13445378151260504,False,5055706641182,717710483480,True,True,False,1.0,1.0,1.0,False,True,81.64,UNCERTAIN,1:1 Match,6.722689075630252,UNLIKELY,False,
5060082728884,653391672419,B0734R66B4,DLUX WASHING BAG,"Tevlaphee Steering Wheel Lock, Steering Lock, Car Anti-Theft Device, Adjustable, Universal Fit, Heavy Duty Secure, 3 Keys, Emergency Hammer Window Breaker(Black)",https://www.efghousewares.co.uk/dlux-washing-bag,https://www.amazon.co.uk/dp/B0734R66B4,100,Available (see Keepa data),Available (see Keepa data),4.0,0.852,0.71,48.81,2.65,3.45,0.55,8.13499999999999,1.472,33.865,-1.472,33.315,2644.04761904761,8.832,81.9053472649047,25,5060082728884,653391672419,100,0.11299435028248588,False,5060082728884,653391672419,True,True,False,1.0,1.0,1.0,False,False,33.315,UNCERTAIN,1:1 Match,5.649717514124294,UNLIKELY,False,
6923456804005,nan,B09WDKDVZC,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",https://www.efghousewares.co.uk/cappuccino-cup,https://www.amazon.co.uk/dp/B09WDKDVZC,100,Available (see Keepa data),Available (see Keepa data),4.0,0.936,0.78,57.64,8.05,3.58,0.55,9.60666666666666,2.592,35.6233333333333,-2.592,35.0733333333333,2637.09273182957,15.552,73.0187369882026,26,6923456804005,,100,0.058823529411764705,False,6923456804005,,True,False,False,1.0,1.0,1.0,False,False,35.0733333333333,UNCERTAIN,1:1 Match,2.941176470588235,UNLIKELY,False,
8711252476247,nan,B0FHK2CM5W,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",https://www.efghousewares.co.uk/dunlop-bike-brake-cable-inner-cable-116177,https://www.amazon.co.uk/dp/B0FHK2CM5W,100,Available (see Keepa data),,1.0,0.708,0.59,49.99,7.5,5.15,0.55,8.33166666666666,2.758,28.4183333333333,-2.758,27.8683333333333,2444.59064327485,16.548,66.8973794758951,27,8711252476247,,100,0.19889502762430938,False,8711252476247,,True,False,False,1.0,1.0,1.0,False,False,27.8683333333333,UNCERTAIN,1:1 Match,9.94475138121547,UNLIKELY,False,
5056170355988,nan,B0D25HS86F,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",https://www.efghousewares.co.uk/christmas-velvet-colouring-set-2pc-115206,https://www.amazon.co.uk/dp/B0D25HS86F,200,,,,0.6,0.5,39.99,4.99875,2.41,0.55,6.66499999999999,1.69175,25.41625,-1.69175,24.86625,2368.21428571428,10.1505,74.6174043510877,28,5056170355988,,200,0.1511111111111111,False,5056170355988,,True,False,False,1.0,1.0,1.0,False,False,24.86625,UNCERTAIN,1:1 Match,7.555555555555555,UNLIKELY,False,
6923456812901,198715902921,B0DK877SSC,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,https://www.efghousewares.co.uk/plate-10-5-inch-assorted-115902,https://www.amazon.co.uk/dp/B0DK877SSC,50,Available (see Keepa data),,1.0,0.672,0.56,49.99,7.5,6.92,0.55,8.33166666666666,3.106,26.6783333333333,-3.106,26.1283333333333,2353.9039039039,18.636,62.7205441088217,29,6923456812901,198715902921,50,0.1574074074074074,False,6923456812901,198715902921,True,True,False,1.0,1.0,1.0,True,True,26.1283333333333,UNCERTAIN,1:1 Match,0.0,UNLIKELY,False,
5016574137825,nan,B0DN6BWS36,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",https://www.efghousewares.co.uk/lynwood-mini-roller-set-5pack,https://www.amazon.co.uk/dp/B0DN6BWS36,50,,,,2.82,2.35,99.99,12.49875,2.41,0.55,16.6649999999999,3.56175,66.06625,-3.56175,65.51625,2259.18103448275,21.3705,78.6273627362736,30,5016574137825,,50,0.19607843137254902,False,5016574137825,,True,False,False,5.0,1.0,0.2,False,False,67.77225,UNCERTAIN,SPLIT (1/5) - OK,14.803921568627452,UNLIKELY,False,
